2012 rank,City,State,2012 estimate,2010 Census,Change,2010 land area,2010 population density,Location
162,Hayward,California,"1,49,392","1,44,186",3.61%,45.323 sq mi,"3,181 per sq mi",37.6281°N 122.1063°W
,,,,,,117.386 km2,"1,228 km-2",
163,Fort Collins,Colorado,"1,48,612","1,43,986",3.21%,54.277 sq mi,"2,653 per sq mi",40.5482°N 105.0648°W
,,,,,,140.578 km2,"1,024 km-2",
164,Joliet,Illinois,"1,48,268","1,47,433",0.57%,62.114 sq mi,"2,374 per sq mi",41.5181°N 88.1584°W
,,,,,,160.874 km2,916 km-2,
165,Escondido,California,"1,47,575","1,43,911",2.55%,36.813 sq mi,"3,909 per sq mi",33.1336°N 117.0732°W
,,,,,,95.345 km2,"1,509 km-2",
166,Kansas City,Kansas,"1,47,268","1,45,786",1.02%,124.810 sq mi,"1,168 per sq mi",39.1225°N 94.7418°W
,,,,,,323.256 km2,451 km-2,
167,Torrance,California,"1,47,027","1,45,438",1.09%,20.478 sq mi,"7,102 per sq mi",33.8350°N 118.3414°W
,,,,,,53.038 km2,"2,742 km-2",
168,Bridgeport,Connecticut,"1,46,425","1,44,229",1.52%,15.974 sq mi,"9,029 per sq mi",41.1874°N 73.1957°W
,,,,,,41.372 km2,"3,486 km-2",
169,Alexandria,Virginia,"1,46,294","1,39,966",4.52%,15.027 sq mi,"9,314 per sq mi",38.8183°N 77.0820°W
,,,,,,38.920 km2,"3,596 km-2",
170,Sunnyvale,California,"1,46,197","1,40,081",4.37%,21.987 sq mi,"6,371 per sq mi",37.3858°N 122.0263°W
,,,,,,56.947 km2,"2,460 km-2",
171,Cary,North Carolina,"1,45,693","1,35,234",7.73%,54.345 sq mi,"2,488 per sq mi",35.7821°N 78.8141°W
,,,,,,140.754 km2,961 km-2,
172,Lakewood,Colorado,"1,45,516","1,42,980",1.77%,42.880 sq mi,"3,334 per sq mi",39.6989°N 105.1176°W
,,,,,,111.060 km2,"1,287 km-2",
173,Hollywood,Florida,"1,45,236","1,40,768",3.17%,27.366 sq mi,"5,144 per sq mi",26.0311°N 80.1646°W
,,,,,,70.879 km2,"1,986 km-2",
174,Paterson,New Jersey,"1,45,219","1,46,199",?0.67%,8.428 sq mi,"17,346 per sq mi",40.9147°N 74.1628°W
,,,,,,21.829 km2,"6,697 km-2",
175,Syracuse,New York,"1,44,170","1,45,170",?0.69%,25.043 sq mi,"5,797 per sq mi",43.0410°N 76.1436°W
,,,,,,64.862 km2,"2,238 km-2",
176,Naperville,Illinois,"1,43,684","1,41,853",1.29%,38.769 sq mi,"3,659 per sq mi",41.7492°N 88.1620°W
,,,,,,100.412 km2,"1,413 km-2",
177,McKinney,Texas,"1,43,223","1,31,117",9.23%,62.209 sq mi,"2,108 per sq mi",33.2012°N 96.6680°W
,,,,,,161.120 km2,814 km-2,
178,Mesquite,Texas,"1,43,195","1,39,824",2.41%,46.021 sq mi,"3,038 per sq mi",32.7639°N 96.5924°W
,,,,,,119.194 km2,"1,173 km-2",
179,Clarksville,Tennessee,"1,42,519","1,32,929",7.21%,97.603 sq mi,"1,362 per sq mi",36.5664°N 87.3452°W
,,,,,,252.789 km2,526 km-2,
180,Savannah,Georgia,"1,42,022","1,36,286",4.21%,103.151 sq mi,"1,321 per sq mi",32.0025°N 81.1536°W
,,,,,,267.160 km2,510 km-2,
181,Dayton,Ohio,"1,41,359","1,41,527",?0.12%,55.652 sq mi,"2,543 per sq mi",39.7774°N 84.1996°W
,,,,,,144.139 km2,982 km-2,
182,Orange,California,"1,39,419","1,36,416",2.20%,24.797 sq mi,"5,501 per sq mi",33.8048°N 117.8249°W
,,,,,,64.224 km2,"2,124 km-2",
183,Fullerton,California,"1,38,574","1,35,161",2.53%,22.353 sq mi,"6,047 per sq mi",33.8857°N 117.9280°W
,,,,,,57.893 km2,"2,335 km-2",
184,Pasadena,California,"1,38,547","1,37,122",1.04%,22.970 sq mi,"5,970 per sq mi",34.1606°N 118.1396°W
,,,,,,59.493 km2,"2,305 km-2",
185,Hampton,Virginia,"1,36,836","1,37,436",?0.44%,51.413 sq mi,"2,673 per sq mi",37.0480°N 76.2971°W
,,,,,,133.160 km2,"1,032 km-2",
186,McAllen,Texas,"1,34,719","1,29,877",3.73%,48.344 sq mi,"2,687 per sq mi",26.2185°N 98.2461°W
,,,,,,125.209 km2,"1,037 km-2",
187,Killeen,Texas,"1,34,654","1,27,921",5.26%,53.580 sq mi,"2,387 per sq mi",31.0777°N 97.7320°W
,,,,,,138.773 km2,922 km-2,
188,Warren,Michigan,"1,34,141","1,34,056",0.06%,34.381 sq mi,"3,899 per sq mi",42.4929°N 83.0250°W
,,,,,,89.045 km2,"1,505 km-2",
189,West Valley City,Utah,"1,32,434","1,29,480",2.28%,35.556 sq mi,"3,642 per sq mi",40.6885°N 112.0118°W
,,,,,,92.090 km2,"1,406 km-2",
190,Columbia,South Carolina,"1,31,686","1,29,272",1.87%,132.213 sq mi,978 per sq mi,34.0298°N 80.8966°W
,,,,,,342.431 km2,378 km-2,
191,New Haven,Connecticut,"1,30,741","1,29,779",0.74%,18.679 sq mi,"6,948 per sq mi",41.3108°N 72.9250°W
,,,,,,48.377 km2,"2,683 km-2",
192,Sterling Heights,Michigan,"1,30,410","1,29,699",0.55%,36.505 sq mi,"3,553 per sq mi",42.5812°N 83.0303°W
,,,,,,94.547 km2,"1,372 km-2",
193,Olathe,Kansas,"1,30,045","1,25,872",3.32%,59.661 sq mi,"2,110 per sq mi",38.8843°N 94.8188°W
,,,,,,154.521 km2,815 km-2,
194,Miramar,Florida,"1,28,729","1,22,041",5.48%,29.521 sq mi,"4,134 per sq mi",25.9770°N 80.3358°W
,,,,,,76.458 km2,"1,596 km-2",
195,Thousand Oaks,California,"1,28,412","1,26,683",1.36%,55.031 sq mi,"2,302 per sq mi",34.1933°N 118.8742°W
,,,,,,142.530 km2,889 km-2,
196,Frisco,Texas,"1,28,176","1,16,989",9.56%,61.804 sq mi,"1,893 per sq mi",33.1510°N 96.8193°W
,,,,,,160.071 km2,731 km-2,
197,Cedar Rapids,Iowa,"1,28,119","1,26,326",1.42%,70.799 sq mi,"1,784 per sq mi",41.9670°N 91.6778°W
,,,,,,183.368 km2,689 km-2,
198,Topeka,Kansas,"1,27,939","1,27,473",0.37%,60.168 sq mi,"2,119 per sq mi",39.0362°N 95.6948°W
,,,,,,155.833 km2,818 km-2,
199,Visalia,California,"1,27,081","1,24,442",2.12%,36.246 sq mi,"3,433 per sq mi",36.3272°N 119.3234°W
,,,,,,93.876 km2,"1,326 km-2",
200,Waco,Texas,"1,27,018","1,24,805",1.77%,88.964 sq mi,"1,403 per sq mi",31.5601°N 97.1860°W
,,,,,,230.416 km2,542 km-2,
201,Elizabeth,New Jersey,"1,26,458","1,24,969",1.19%,12.319 sq mi,"10,144 per sq mi",40.6663°N 74.1935°W
,,,,,,31.907 km2,"3,917 km-2",
202,Bellevue,Washington,"1,26,439","1,22,363",3.33%,31.968 sq mi,"3,828 per sq mi",47.5978°N 122.1565°W
,,,,,,82.796 km2,"1,478 km-2",
203,Gainesville,Florida,"1,26,047","1,24,354",1.36%,61.305 sq mi,"2,028 per sq mi",29.6788°N 82.3459°W
,,,,,,158.779 km2,783 km-2,
204,Simi Valley,California,"1,25,793","1,24,237",1.25%,41.480 sq mi,"2,995 per sq mi",34.2669°N 118.7485°W
,,,,,,107.433 km2,"1,156 km-2",
205,Charleston,South Carolina,"1,25,583","1,20,083",4.58%,108.979 sq mi,"1,102 per sq mi",32.8179°N 79.9589°W
,,,,,,282.253 km2,425 km-2,
206,Carrollton,Texas,"1,25,409","1,19,097",5.30%,36.296 sq mi,"3,281 per sq mi",32.9884°N 96.8998°W
,,,,,,94.007 km2,"1,267 km-2",
207,Coral Springs,Florida,"1,25,287","1,21,096",3.46%,23.792 sq mi,"5,090 per sq mi",26.2708°N 80.2593°W
,,,,,,61.620 km2,"1,965 km-2",
208,Stamford,Connecticut,"1,25,109","1,22,643",2.01%,37.639 sq mi,"3,258 per sq mi",41.0799°N 73.5460°W
,,,,,,97.483 km2,"1,258 km-2",
209,Hartford,Connecticut,"1,24,893","1,24,775",0.09%,17.381 sq mi,"7,179 per sq mi",41.7660°N 72.6833°W
,,,,,,45.016 km2,"2,772 km-2",
210,Concord,California,"1,24,711","1,22,067",2.17%,30.546 sq mi,"3,996 per sq mi",37.9722°N 122.0016°W
,,,,,,79.114 km2,"1,543 km-2",
211,Roseville,California,"1,24,519","1,18,788",4.82%,36.222 sq mi,"3,279 per sq mi",38.7657°N 121.3032°W
,,,,,,93.814 km2,"1,266 km-2",
212,Thornton,Colorado,"1,24,140","1,18,772",4.52%,34.843 sq mi,"3,409 per sq mi",39.9180°N 104.9454°W
,,,,,,90.243 km2,"1,316 km-2",
213,Kent,Washington,"1,22,999","92,411",33.10%,28.625 sq mi,"3,228 per sq mi",47.3853°N 122.2169°W
,,,,,,74.139 km2,"1,246 km-2",
214,Lafayette,Louisiana,"1,22,761","1,20,623",1.77%,49.231 sq mi,"2,450 per sq mi",30.2116°N 92.0314°W
,,,,,,127.509 km2,946 km-2,
215,Surprise,Arizona,"1,21,287","1,17,517",3.21%,105.747 sq mi,"1,111 per sq mi",33.6706°N 112.4527°W
,,,,,,273.884 km2,429 km-2,
216,Denton,Texas,"1,21,123","1,13,383",6.83%,87.952 sq mi,"1,289 per sq mi",33.2151°N 97.1417°W
,,,,,,227.794 km2,498 km-2,
217,Victorville,California,"1,20,336","1,15,903",3.82%,73.178 sq mi,"1,584 per sq mi",34.5277°N 117.3536°W
,,,,,,189.529 km2,612 km-2,
218,Evansville,Indiana,"1,20,235","1,17,429",2.39%,44.153 sq mi,"2,660 per sq mi",37.9877°N 87.5347°W
,,,,,,114.357 km2,"1,027 km-2",
219,Midland,Texas,"1,19,385","1,11,147",7.41%,72.071 sq mi,"1,542 per sq mi",32.0299°N 102.1097°W
,,,,,,186.663 km2,595 km-2,
220,Santa Clara,California,"1,19,311","1,16,468",2.44%,18.407 sq mi,"6,327 per sq mi",37.3646°N 121.9679°W
,,,,,,47.675 km2,"2,443 km-2",
221,Athens,Georgia,"1,18,999","1,15,452",3.07%,116.355 sq mi,992 per sq mi,33.9496°N 83.3701°W
,,,,,,301.358 km2,383 km-2,
222,Allentown,Pennsylvania,"1,18,974","1,18,032",0.80%,17.546 sq mi,"6,727 per sq mi",40.5940°N 75.4782°W
,,,,,,45.443 km2,"2,597 km-2",
223,Abilene,Texas,"1,18,887","1,17,063",1.56%,106.793 sq mi,"1,096 per sq mi",32.4545°N 99.7381°W
,,,,,,276.592 km2,423 km-2,
224,Beaumont,Texas,"1,18,228","1,18,296",?0.06%,82.801 sq mi,"1,429 per sq mi",30.0843°N 94.1458°W
,,,,,,214.452 km2,552 km-2,
225,Vallejo,California,"1,17,796","1,15,942",1.60%,30.671 sq mi,"3,780 per sq mi",38.1079°N 122.2639°W
,,,,,,79.439 km2,"1,460 km-2",
226,Independence,Missouri,"1,17,270","1,16,830",0.38%,77.567 sq mi,"1,506 per sq mi",39.0853°N 94.3513°W
,,,,,,200.897 km2,582 km-2,
227,Springfield,Illinois,"1,17,126","1,16,250",0.75%,59.480 sq mi,"1,954 per sq mi",39.7639°N 89.6708°W
,,,,,,154.051 km2,755 km-2,
228,Ann Arbor,Michigan,"1,16,121","1,13,934",1.92%,27.830 sq mi,"4,094 per sq mi",42.2756°N 83.7313°W
,,,,,,72.079 km2,"1,581 km-2",
229,Provo,Utah,"1,15,919","1,12,488",3.05%,41.673 sq mi,"2,699 per sq mi",40.2453°N 111.6448°W
,,,,,,107.931 km2,"1,042 km-2",
230,Peoria,Illinois,"1,15,687","1,15,007",0.59%,48.007 sq mi,"2,396 per sq mi",40.7523°N 89.6171°W
,,,,,,124.338 km2,925 km-2,
231,Norman,Oklahoma,"1,15,562","1,10,925",4.18%,178.763 sq mi,621 per sq mi,35.2406°N 97.3453°W
,,,,,,462.995 km2,240 km-2,
232,Berkeley,California,"1,15,403","1,12,580",2.51%,10.470 sq mi,"10,752 per sq mi",37.8667°N 122.2991°W
,,,,,,27.118 km2,"4,152 km-2",
233,El Monte,California,"1,15,111","1,13,475",1.44%,9.562 sq mi,"11,867 per sq mi",34.0746°N 118.0291°W
,,,,,,24.766 km2,"4,582 km-2",
234,Murfreesboro,Tennessee,"1,14,038","1,08,755",4.86%,55.346 sq mi,"1,965 per sq mi",35.8522°N 86.4161°W
,,,,,,143.347 km2,759 km-2,
235,Lansing,Michigan,"1,13,996","1,14,297",?0.26%,36.049 sq mi,"3,171 per sq mi",42.7098°N 84.5562°W
,,,,,,93.366 km2,"1,224 km-2",
236,Columbia,Missouri,"1,13,225","1,08,500",4.35%,63.077 sq mi,"1,720 per sq mi",38.9479°N 92.3261°W
,,,,,,163.367 km2,664 km-2,
237,Downey,California,"1,12,873","1,11,772",0.99%,12.408 sq mi,"9,008 per sq mi",33.9382°N 118.1309°W
,,,,,,32.137 km2,"3,478 km-2",
238,Costa Mesa,California,"1,11,918","1,09,960",1.78%,15.654 sq mi,"7,025 per sq mi",33.6659°N 117.9123°W
,,,,,,40.543 km2,"2,712 km-2",
239,Inglewood,California,"1,11,182","1,09,673",1.38%,9.068 sq mi,"12,095 per sq mi",33.9561°N 118.3443°W
,,,,,,23.486 km2,"4,670 km-2",
240,Miami Gardens,Florida,"1,10,754","1,07,167",3.35%,18.231 sq mi,"5,878 per sq mi",25.9489°N 80.2436°W
,,,,,,47.217 km2,"2,270 km-2",
241,,New Hampshire,"1,10,209","1,09,565",0.59%,33.101 sq mi,"3,310 per sq mi",42.9847°N 71.4439°W
,,,,,,85.730 km2,"1,278 km-2",
242,Elgin,Illinois,"1,09,927","1,08,188",1.61%,37.163 sq mi,"2,911 per sq mi",42.0396°N 88.3217°W
,,,,,,96.253 km2,"1,124 km-2",
243,Wilmington,North Carolina,"1,09,922","1,06,476",3.24%,51.493 sq mi,"2,068 per sq mi",34.2092°N 77.8858°W
,,,,,,133.366 km2,798 km-2,
244,Waterbury,Connecticut,"1,09,915","1,10,366",?0.41%,28.519 sq mi,"3,870 per sq mi",41.5585°N 73.0367°W
,,,,,,73.864 km2,"1,494 km-2",
245,Fargo,North Dakota,"1,09,779","1,05,549",4.01%,48.821 sq mi,"2,162 per sq mi",46.8652°N 96.8290°W
,,,,,,126.446 km2,835 km-2,
246,Arvada,Colorado,"1,09,745","1,06,433",3.11%,35.142 sq mi,"3,029 per sq mi",39.8097°N 105.1066°W
,,,,,,91.018 km2,"1,169 km-2",
247,Carlsbad,California,"1,09,318","1,05,328",3.79%,37.722 sq mi,"2,792 per sq mi",33.1239°N 117.2828°W
,,,,,,97.699 km2,"1,078 km-2",
248,Westminster,Colorado,"1,09,169","1,06,114",2.88%,31.550 sq mi,"3,363 per sq mi",39.8822°N 105.0644°W
,,,,,,81.715 km2,"1,299 km-2",
249,Rochester,Minnesota,"1,08,992","1,06,769",2.08%,54.586 sq mi,"1,956 per sq mi",44.0154°N 92.4772°W
,,,,,,141.377 km2,755 km-2,
250,Gresham,Oregon,"1,08,956","1,05,594",3.18%,23.201 sq mi,"4,551 per sq mi",45.5023°N 122.4416°W
,,,,,,60.090 km2,"1,757 km-2",
251,Clearwater,Florida,"1,08,732","1,07,685",0.97%,25.562 sq mi,"4,213 per sq mi",27.9795°N 82.7663°W
,,,,,,66.204 km2,"1,627 km-2",
252,Lowell,Massachusetts,"1,08,522","1,06,519",1.88%,13.583 sq mi,"7,842 per sq mi",42.6389°N 71.3221°W
,,,,,,35.180 km2,"3,028 km-2",
253,West Jordan,Utah,"1,08,383","1,03,712",4.50%,32.457 sq mi,"3,195 per sq mi",40.6023°N 112.0010°W
,,,,,,84.063 km2,"1,234 km-2",
254,Pueblo,Colorado,"1,07,772","1,06,595",1.10%,53.641 sq mi,"1,987 per sq mi",38.2731°N 104.6124°W
,,,,,,138.930 km2,767 km-2,
255,San Buenaventura (Ventura),California,"1,07,734","1,06,433",1.22%,21.655 sq mi,"4,915 per sq mi",34.2681°N 119.2550°W
,,,,,,56.085 km2,"1,898 km-2",
256,Fairfield,California,"1,07,684","1,05,321",2.24%,37.390 sq mi,"2,817 per sq mi",38.2568°N 122.0397°W
,,,,,,96.839 km2,"1,088 km-2",
257,West Covina,California,"1,07,440","1,06,098",1.26%,16.041 sq mi,"6,614 per sq mi",34.0559°N 117.9099°W
,,,,,,41.545 km2,"2,554 km-2",
258,Billings,Montana,"1,06,954","1,04,170",2.67%,43.413 sq mi,"2,399 per sq mi",45.7895°N 108.5499°W
,,,,,,112.440 km2,926 km-2,
259,Murrieta,California,"1,06,810","1,03,466",3.23%,33.577 sq mi,"3,081 per sq mi",33.5719°N 117.1907°W
,,,,,,86.964 km2,"1,190 km-2",
260,High Point,North Carolina,"1,06,586","1,04,371",2.12%,53.803 sq mi,"1,940 per sq mi",35.9855°N 79.9902°W
,,,,,,139.348 km2,749 km-2,
261,Round Rock,Texas,"1,06,573","99,887",6.69%,34.113 sq mi,"2,928 per sq mi",30.5237°N 97.6674°W
,,,,,,88.352 km2,"1,131 km-2",
262,Richmond,California,"1,06,516","1,03,701",2.71%,30.068 sq mi,"3,449 per sq mi",37.9530°N 122.3594°W
,,,,,,77.875 km2,"1,332 km-2",
263,Cambridge,Massachusetts,"1,06,471","1,05,162",1.24%,6.385 sq mi,"16,469 per sq mi",42.3760°N 71.1183°W
,,,,,,16.538 km2,"6,359 km-2",
264,Norwalk,California,"1,06,278","1,05,549",0.69%,9.707 sq mi,"10,873 per sq mi",33.9069°N 118.0834°W
,,,,,,25.141 km2,"4,198 km-2",
265,Odessa,Texas,"1,06,102","99,940",6.17%,41.955 sq mi,"2,382 per sq mi",31.8804°N 102.3434°W
,,,,,,108.662 km2,920 km-2,
266,Antioch,California,"1,05,508","1,02,372",3.06%,28.349 sq mi,"3,611 per sq mi",37.9775°N 121.7976°W
,,,,,,73.422 km2,"1,394 km-2",
267,Temecula,California,"1,05,208","1,00,097",5.11%,30.151 sq mi,"3,320 per sq mi",33.5019°N 117.1246°W
,,,,,,78.092 km2,"1,282 km-2",
268,Green Bay,Wisconsin,"1,04,868","1,04,057",0.78%,45.467 sq mi,"2,289 per sq mi",44.5207°N 87.9842°W
,,,,,,117.758 km2,884 km-2,
269,Everett,Washington,"1,04,655","1,03,019",1.59%,33.447 sq mi,"3,080 per sq mi",48.0033°N 122.1742°W
,,,,,,86.628 km2,"1,189 km-2",
270,Wichita Falls,Texas,"1,04,552","1,04,553",0.00%,72.140 sq mi,"1,449 per sq mi",33.9067°N 98.5259°W
,,,,,,186.841 km2,560 km-2,
271,Burbank,California,"1,04,391","1,03,340",1.02%,17.341 sq mi,"5,959 per sq mi",34.1890°N 118.3249°W
,,,,,,44.913 km2,"2,301 km-2",
272,Palm Bay,Florida,"1,04,124","1,03,190",0.91%,65.702 sq mi,"1,571 per sq mi",27.9856°N 80.6626°W
,,,,,,170.168 km2,606 km-2,
273,Centennial,Colorado,"1,03,743","1,00,377",3.35%,28.722 sq mi,"3,495 per sq mi",39.5906°N 104.8691°W
,,,,,,74.390 km2,"1,349 km-2",
274,Daly City,California,"1,03,690","1,01,123",2.54%,7.664 sq mi,"13,195 per sq mi",37.7009°N 122.4650°W
,,,,,,19.849 km2,"5,095 km-2",
275,Richardson,Texas,"1,03,297","99,223",4.11%,28.564 sq mi,"3,474 per sq mi",32.9723°N 96.7081°W
,,,,,,73.980 km2,"1,341 km-2",
276,Pompano Beach,Florida,"1,02,984","99,845",3.14%,24.002 sq mi,"4,160 per sq mi",26.2426°N 80.1290°W
,,,,,,62.165 km2,"1,606 km-2",
277,Broken Arrow,Oklahoma,"1,02,019","98,850",3.21%,61.571 sq mi,"1,605 per sq mi",36.0365°N 95.7810°W
,,,,,,159.469 km2,620 km-2,
278,North Charleston,South Carolina,"1,01,989","97,471",4.64%,,,32.8853°N 80.0169°W
279,West Palm Beach,Florida,"1,01,903","99,919",1.99%,55.293 sq mi,"1,807 per sq mi",26.7483°N 80.1266°W
,,,,,,143.208 km2,698 km-2,
280,Boulder,Colorado,"1,01,808","97,385",4.54%,,,40.0175°N 105.2797°W
281,Rialto,California,"1,01,740","99,171",2.59%,22.351 sq mi,"4,437 per sq mi",34.1118°N 117.3883°W
,,,,,,57.889 km2,"1,713 km-2",
282,Santa Maria,California,"1,01,459","99,553",1.91%,22.756 sq mi,"4,375 per sq mi",34.9332°N 120.4438°W
,,,,,,58.937 km2,"1,689 km-2",
283,El Cajon,California,"1,01,435","99,478",1.97%,14.433 sq mi,"6,892 per sq mi",32.8017°N 116.9605°W
,,,,,,37.381 km2,"2,661 km-2",
284,Davenport,Iowa,"1,01,363","99,685",1.68%,62.948 sq mi,"1,584 per sq mi",41.5541°N 90.6040°W
,,,,,,163.033 km2,611 km-2,
285-(T),Erie,Pennsylvania,"1,01,047","1,01,786",?0.73%,19.081 sq mi,"5,334 per sq mi",42.1166°N 80.0735°W
,,,,,,49.419 km2,"2,060 km-2",
285-(T),Las Cruces,New Mexico,"1,01,047","97,618",3.51%,76.29 sq mi,"1,279 per sq mi",32.3197°N 106.7653°W
,,,,,,197.59 km2,494 km-2,
287,South Bend,Indiana,"1,00,800","1,01,168",?0.36%,41.458 sq mi,"2,440 per sq mi",41.6769°N 86.2690°W
,,,,,,107.375 km2,942 km-2,
288,Flint,Michigan,"1,00,515","1,02,434",?1.87%,33.416 sq mi,"3,065 per sq mi",43.0244°N 83.6920°W
,,,,,,86.547 km2,"1,184 km-2",
289,Kenosha,Wisconsin,"1,00,150","99,218",0.94%,,,42.5822°N 87.8456°W
,,,,,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,,,,,
,,,,,,,,
Original source : en.wikipedia.org/wiki/List_of_United_States_cities_by_population,,,,,,,,
