index,movie,group,html_color, r,g,b, black, gray,silver, white, maroon, red, olive, yellow, green, lime, teal, aqua, navy, blue, orange, purple, fuchsia, brown
animation_19.jpg4,animation_19,4,#7c98bc,124,152,188,65.71058028,23.39479568,26.9134757,43.84993978,85.53654188,120.7222456,80.04168783,123.2301702,89.24136821,137.6541448,33.80241837,55.91932659,81.18287828,121.2903428,104.6098431,69.57257266,106.622165,72.7784164
animation_19.jpg5,animation_19,5,#455c86,69,92,134,47.05307012,30.14784954,46.85784716,66.48286955,79.20324318,121.4962083,85.41476348,136.2426935,94.29507322,149.6305171,38.09411832,74.40261451,63.95646638,111.5248671,112.8993179,57.01971781,103.0224395,70.89602919
animation_19.jpg6,animation_19,6,#637a9c,99,122,156,54.82677821,21.1790384,34.22895931,53.6177688,79.91932023,118.8900956,78.79413889,126.3805126,88.06531274,140.4198775,31.87904747,63.50644767,74.51271212,118.7299718,105.4936767,64.05858427,106.0973344,68.49486294
animation_19.jpg7,animation_19,7,#edf2f5,237,242,245,95.23160698,41.68253045,17.65066461,5.322391689,94.21786307,114.6643744,73.91689631,98.66756329,87.48658586,120.6368239,54.9074768,48.67816787,114.2528433,146.9931239,87.15143087,95.24909867,120.6016891,77.08713342
animation_19.jpg8,animation_19,8,#9fb5cd,159,181,205,74.27198886,24.24933173,15.61820894,30.99508687,86.86043785,117.7724982,75.07785282,113.4552513,85.49955053,129.7254365,36.6537497,49.31398483,92.53987217,130.2702729,97.22718148,77.9458341,111.3436942,71.88646552
animation_19.jpg9,animation_19,9,#dcdddd,220,221,221,88.04096856,34.45709847,10.34203669,11.96511779,87.78210048,110.51217,68.50768833,97.38038611,82.99725687,119.6215193,49.65153791,49.85355883,109.9744339,145.050601,83.74683492,90.71286405,119.0397199,70.45877648
animation_19.jpg10,animation_19,10,#3b465a,59,70,90,32.40709159,27.50124897,49.98225876,71.71658003,69.74717364,115.3019529,74.76778788,129.2155736,83.97772292,142.4807582,35.5762974,78.76656177,71.25431087,122.7206978,105.3382504,62.37831269,112.5070255,60.46324187
animation_2.jpg1,animation_2,1,#131d5b,19,29,91,45.66986152,58.56765378,76.87353085,96.1055592,82.14080266,127.5030721,107.4831759,162.0857432,118.2788226,177.4868797,66.76901389,105.6488351,37.92936361,92.90027,132.1632484,41.76232662,93.35112228,82.94092666
animation_2.jpg2,animation_2,2,#9b255b,155,37,91,63.34582827,54.93263654,66.66234507,82.44479631,42.36290502,77.34222191,89.44212837,136.3741935,116.7490224,170.7362316,81.94765811,114.7750178,66.24408723,108.610452,94.75021439,34.98638286,78.07772954,50.69831975
animation_2.jpg3,animation_2,3,#1b277c,27,39,124,60.14568043,65.43327329,80.34067954,97.45903022,90.10938178,132.1793921,117.7541462,170.2089018,129.5092855,187.0382957,74.81226456,109.100038,26.43013375,78.99046226,139.5015574,35.42526208,82.10844464,92.03597624
animation_2.jpg4,animation_2,4,#622e4e,98,46,78,39.88912267,39.57990971,58.56363227,78.6561975,51.09069527,95.8961673,81.17527355,134.3695691,100.8536757,158.7242388,60.64490562,99.58954204,60.77563148,111.5655008,100.145396,41.57022159,93.5142969,50.98576168
animation_2.jpg5,animation_2,5,#dc9b31,220,155,49,93.42584144,65.12619076,63.99915662,70.68396243,59.02133958,66.8784926,33.17354599,57.05571601,71.56940113,105.4821084,85.19120597,101.1727874,141.6495776,184.6293471,20.47787543,114.0946109,148.0376883,38.96687508
animation_2.jpg6,animation_2,6,#4475b2,68,117,178,61.22781753,37.7572129,47.47739967,63.67731393,90.94923651,130.1950962,95.33407041,142.5634676,102.7715893,154.7495046,42.67759273,70.18805164,63.44187494,105.3658465,121.1357572,59.33939558,99.18183585,82.58500771
animation_2.jpg7,animation_2,7,#94612b,148,97,43,61.54592738,42.02356632,52.24967101,68.23512615,38.26247031,71.18601402,34.45108125,84.76912934,68.2083271,118.8685562,64.47102688,94.08977392,112.6531466,159.9437233,50.84162226,87.88129213,129.9061189,13.93716496
animation_2.jpg8,animation_2,8,#b76b80,183,107,128,63.39502228,32.92458229,40.46190314,56.42099101,48.80261699,80.85323756,71.6993879,115.9363288,97.73740122,148.1980488,62.81775652,90.36710554,79.3972582,120.8269443,80.61402521,52.17499817,90.57112678,43.29079462
animation_2.jpg9,animation_2,9,#241012,36,16,18,13.10584301,47.73859106,71.42576213,93.51855044,54.64743645,105.3902167,73.96844189,132.5240009,87.43423458,149.507873,58.10958329,103.86285,77.03960799,132.4941439,102.8950664,66.17506366,120.5637666,51.33224557
animation_2.jpg10,animation_2,10,#dddcdb,221,220,219,87.81318215,34.23172518,10.12613511,12.20533028,87.029517,109.6346701,67.87760138,96.80545931,82.75541803,119.4742527,49.88374517,50.5521451,110.032841,145.2332975,82.87984021,90.53693225,118.9491901,69.68200971
animation_20.jpg1,animation_20,1,#673b33,103,59,51,37.65825078,32.71938296,52.80410559,73.55919213,38.87530621,85.13666164,57.82023583,112.6704306,80.75085448,138.4141889,55.13592011,94.37054908,84.95995931,135.5483057,79.74050083,64.16895561,113.0460636,29.78073449
animation_20.jpg2,animation_20,2,#2a2621,42,38,33,15.95155769,38.37540069,62.41145197,84.67217972,59.13730529,108.2443667,65.51232906,123.952402,76.22272546,138.0639737,45.93966497,91.89324168,83.11663299,137.6406735,98.47147861,72.29593676,125.3647302,50.1322029
animation_20.jpg3,animation_20,3,#71b1cb,113,177,203,72.95753425,28.37862907,25.42001509,39.16493429,94.9258038,128.6962154,78.16721089,117.7804597,82.43971882,127.212364,27.99135399,41.34359115,94.35449009,133.2164657,105.6312588,84.15238944,119.5219277,79.15620881
animation_20.jpg4,animation_20,4,#0d5375,13,83,117,42.12115403,33.23200378,51.74047361,71.87290338,84.26787982,128.661249,84.11120046,136.4315276,88.18316252,144.7409975,31.22198017,71.84389567,70.47790813,119.6627373,116.4182913,67.21355688,114.6501196,74.30276632
animation_20.jpg5,animation_20,5,#0a3342,10,51,66,24.77209066,37.59303247,60.39317842,82.14227029,76.18874633,123.9803283,77.3990124,133.6903197,81.54949224,141.9144495,36.08411097,82.30323532,75.74884497,129.1153659,112.350937,71.41962499,123.2210711,66.76320565
animation_20.jpg6,animation_20,6,#d89d8f,216,157,143,74.53914339,30.48907618,26.85691646,39.54245606,56.91864667,80.60250809,55.44607267,92.919356,82.89018624,127.0029327,58.89619291,77.51295911,102.5257613,142.3062929,63.2551594,76.65542988,109.992591,41.46925511
animation_20.jpg7,animation_20,7,#197fad,25,127,173,60.43682821,34.16686182,43.85144543,60.46683989,94.94981655,134.846052,88.85257697,135.5218003,91.63555474,142.7247097,29.65870425,58.20976765,76.53322178,119.1160907,119.1040713,72.95323888,113.4516847,83.1126665
animation_20.jpg8,animation_20,8,#bf3232,191,50,50,78.3510322,65.83100092,73.45294911,86.09024239,19.94867972,42.38476689,72.45664473,111.5082294,108.3124389,156.2240844,94.52657425,123.66977,103.7549032,144.3845248,63.11049949,72.02262528,105.4668783,30.42253368
animation_20.jpg9,animation_20,9,#dcdddd,220,221,221,88.04096856,34.45709847,10.34203669,11.96511779,87.78210048,110.51217,68.50768833,97.38038611,82.99725687,119.6215193,49.65153791,49.85355883,109.9744339,145.050601,83.74683492,90.71286405,119.0397199,70.45877648
animation_20.jpg10,animation_20,10,#857675,133,118,117,51.32967648,6.744544879,27.46290475,49.43878612,60.82459843,98.58086016,57.11114376,106.3053558,74.4126963,127.5190421,36.30880943,69.12191089,87.95692443,134.0868951,82.03812352,69.4590263,112.6938124,45.65262063
animation_21.jpg1,animation_21,1,#d5c1c1,213,193,193,80.04271318,27.15978541,7.749314876,21.64572925,76.64731347,101.0720672,64.04521328,97.83557563,82.52928278,123.5115672,48.96527424,58.71532442,103.0187108,140.1601703,78.38306485,81.90333243,112.740377,60.297851
animation_21.jpg2,animation_21,2,#c19e9f,193,158,159,69.61682477,20.12119897,16.72702367,34.62704093,64.66617283,93.08524483,60.68044858,100.784219,82.19011444,128.2467931,48.18585157,67.87139592,94.91152731,135.1115641,75.67617627,72.45004959,107.5324301,49.66660625
animation_21.jpg3,animation_21,3,#aa7579,170,117,121,59.07774579,22.32270068,32.02796803,50.48012797,50.73132675,84.63758016,61.08495789,106.9252537,85.57152719,136.3317247,52.75388557,81.04709146,86.34465382,129.8461496,75.51845913,62.08787941,102.1403829,39.11723188
animation_21.jpg4,animation_21,4,#f5f4f1,245,244,241,96.20190893,42.63304029,18.55129426,4.121781921,93.01374058,112.2507025,71.86959904,95.3561465,86.52402442,118.8658252,56.73834282,50.64955902,116.5749777,149.5178501,83.81010685,96.70708507,121.9277527,75.57941745
animation_21.jpg5,animation_21,5,#fbfbf9,251,251,249,98.5735877,44.99485333,20.88874506,1.756458787,95.14731515,113.6445381,73.78799407,95.91505297,88.1607151,119.3598869,58.58557516,50.61216804,118.0119833,150.1953188,85.04273181,98.21910821,122.4695547,77.80520322
animation_21.jpg6,animation_21,6,#dddcdc,221,220,220,87.83719605,34.25334549,10.13842287,12.1688344,87.16159485,109.810929,68.33066623,97.31810341,83.17262986,119.942247,49.92148898,50.58103839,109.683233,144.780182,83.29607261,90.23753038,118.555159,69.9183396
animation_21.jpg7,animation_21,7,#60505b,96,80,91,37.21448564,20.09993735,42.85641141,64.77541996,58.41750262,102.1928989,66.33074668,119.8000243,81.63119386,138.898701,39.85951097,79.8917661,75.62076195,125.5761541,92.84334472,60.09185821,108.7700421,48.28815886
animation_21.jpg8,animation_21,8,#211111,33,17,17,11.07887179,47.47421341,71.32462668,93.49441379,56.32852847,107.0230693,73.18726322,131.9409973,85.65107625,147.9038352,56.64285139,102.6857409,78.46905067,134.0250397,103.2361377,68.22035909,122.6022006,52.12931812
animation_21.jpg9,animation_21,9,#eee3e2,238,227,226,91.14352307,37.6833593,13.93659911,9.796042739,87.0964712,107.5326867,69.40667693,96.19995691,85.87660939,121.1804572,54.65992624,54.0471323,111.5930495,145.6102156,81.39339972,91.03655485,117.6151984,70.21018968
animation_21.jpg10,animation_21,10,#9b3733,155,55,51,61.32257894,50.87017238,62.72230769,78.82545207,19.1318808,59.37186771,64.54702327,111.0858996,96.80949182,148.9465186,78.50737421,111.2919805,93.14753415,138.1215856,67.91962988,64.31520984,105.2805458,22.00251805
animation_22.jpg1,animation_22,1,#dddddc,221,221,220,88.09141083,34.50881049,10.39854304,11.92152362,87.46737722,110.0428698,68.06022859,96.81984981,82.75576108,119.3130023,49.88802442,50.17600938,110.2979201,145.4354644,83.13462626,90.88715873,119.2318443,70.08124037
animation_22.jpg2,animation_22,2,#3f473f,63,71,63,29.88369176,25.16849539,48.89572294,71.06404687,63.36679808,108.9146996,58.14186709,114.5626962,67.79758956,127.7443816,32.80036577,77.45578452,87.8000015,139.8537501,92.6989714,75.58521434,125.7255475,49.50759355
animation_22.jpg3,animation_22,3,#c45c32,196,92,50,77.36983646,57.86612398,63.52481737,75.53296738,27.88681023,47.95511143,53.56184202,91.65613648,90.93460945,136.2718838,84.98958073,111.248783,114.5526665,157.202314,45.58191886,84.66725964,119.8424826,18.73342933
animation_22.jpg4,animation_22,4,#7b2818,123,40,24,54.19700812,52.08445635,66.97671559,84.61530692,15.85783262,63.54445875,59.88420384,110.0488961,90.93000585,145.199433,76.8756867,112.6993586,96.24459202,144.1987284,68.56151864,70.05754985,114.4909798,16.84880863
animation_22.jpg5,animation_22,5,#120808,18,8,8,4.39098645,50.80399155,74.88869033,97.1675266,62.42524329,113.2666409,75.79784636,134.9503378,85.23210711,148.0236182,56.31546791,103.1383176,80.01197807,136.1070823,108.0939408,72.46513566,127.2069551,57.70936093
animation_22.jpg6,animation_22,6,#837963,131,121,99,52.89684056,13.69182592,29.775196,50.67195729,59.70363431,96.42845245,45.1183058,95.62318166,63.47358527,116.7622195,36.39929481,68.37817849,99.10157723,146.086692,73.64430796,80.12399961,123.4749739,40.50706853
