word,freq_grltrain,prop_grltrain,freq_orwell,prop_orwell,freq_crime,prop_crime,freq_lolita,prop_lolita,freq_catcher,prop_catcher,freq_gatsby,prop_gatsby,freq_feynman,prop_feynman,freq_giver,prop_giver,freq_artwar,prop_artwar,freq_vegas,prop_vegas,freq_friends,prop_friends,freq_hitchhike,prop_hitchhike
first,698.0,0.00307250765926,360.0,0.00240709290041,321.0,0.00346506331027,470.0,0.00398893283316,606.0,0.00382926289849,620.0,0.00338614629244,52.0,0.00293702343971,569.0,0.00364617376037,56.0,0.0033512866547,88.0,0.00453374549201,206.0,0.00336915100666,397.0,0.00458662599935
live,696.0,0.00306370391239,222.0,0.00148437395525,92.0,0.000993102257149,50.0,0.000424354556719,156.0,0.000985750845155,364.0,0.00198799556524,47.0,0.00265461733973,613.0,0.00392812744306,21.0,0.00125673249551,22.0,0.001133436373,71.0,0.00116121224016,46.0,0.000531447848792
novel,686.0,0.00301968517801,662.0,0.00442637638909,584.0,0.00630404041494,627.0,0.00532140614126,596.0,0.00376607374175,939.0,0.00512837317517,8.0,0.000451849759955,518.0,0.00331936380996,0.0,0.0,65.0,0.00334878928387,0.0,0.0,203.0,0.00234530246315
three,685.0,0.00301528330457,127.0,0.000849168884312,56.0,0.000604497026091,111.0,0.000942067115917,104.0,0.000657167230103,89.0,0.000486075838754,7.0,0.00039536853996,80.0,0.000512643059454,0.0,0.0,8.0,0.000412158681092,22.0,0.000359812243429,66.0,0.000762512130875
want,683.0,0.0030064795577,339.0,0.00226667914789,172.0,0.00185666943728,291.0,0.00246974352011,684.0,0.00432213832106,453.0,0.00247407140399,58.0,0.00327591075967,500.0,0.00320401912159,56.0,0.0033512866547,52.0,0.0026790314271,315.0,0.00515185712183,198.0,0.00228753639262
narrator,683.0,0.0030064795577,10.0,6.68636916781e-05,11.0,0.000118740487268,283.0,0.00240184679103,122.0,0.000770907712237,312.0,0.00170399619878,0.0,0.0,19.0,0.00012175272662,0.0,0.0,11.0,0.000566718186502,0.0,0.0,27.0,0.000311936780812
didn,680.0,0.00299327393739,151.0,0.00100964174434,113.0,0.00121978864193,164.0,0.00139188294604,375.0,0.00236959337778,317.0,0.00173130383017,28.0,0.00158147415984,301.0,0.00192881951119,13.0,0.000777977259126,34.0,0.00175167439464,71.0,0.00116121224016,145.0,0.0016752160451
keep,673.0,0.00296246082333,218.0,0.00145762847858,102.0,0.00110104815466,127.0,0.00107786057407,254.0,0.00160500458121,177.0,0.00096669015123,13.0,0.000734255859927,249.0,0.00159560152255,34.0,0.00203470975464,18.0,0.000927357032457,84.0,0.00137382856582,104.0,0.00120153426683
could,664.0,0.00292284396239,416.0,0.00278152957381,235.0,0.00253672859163,337.0,0.00286014971229,469.0,0.00296357145114,482.0,0.00263245566606,59.0,0.00333239197967,502.0,0.00321683519807,37.0,0.00221424296828,64.0,0.00329726944874,135.0,0.0022079387665,207.0,0.00239151531956
every,662.0,0.00291404021552,377.0,0.00252076117627,169.0,0.00182428566802,264.0,0.00224059205948,360.0,0.00227480964267,400.0,0.00218461051125,42.0,0.00237221123976,373.0,0.0023901982647,102.0,0.00610412926391,63.0,0.0032457496136,243.0,0.0039742897797,210.0,0.00242617496187
say,652.0,0.00287002148114,455.0,0.00304229797136,311.0,0.00335711741275,388.0,0.00329299136014,683.0,0.00431581940539,510.0,0.00278537840185,48.0,0.00271109855973,361.0,0.00231330180579,72.0,0.00430879712747,91.0,0.00468830499742,214.0,0.00349999182245,291.0,0.00336198530431
author,628.0,0.00276437651865,141.0,0.000942778052662,177.0,0.00191064238604,234.0,0.00198597932545,211.0,0.00133329120723,199.0,0.00108684372935,17.0,0.000960180739904,238.0,0.00152511310187,21.0,0.00125673249551,47.0,0.00242143225142,131.0,0.0021425183586,188.0,0.00217200425158
plot,618.0,0.00272035778427,169.0,0.00112999638936,149.0,0.00160839387299,137.0,0.00116273148541,167.0,0.00105525891757,250.0,0.00136538156953,0.0,0.0,211.0,0.00135209606931,0.0,0.0,20.0,0.00103039670273,0.0,0.0,200.0,0.00231064282083
couldn,610.0,0.00268514279677,78.0,0.00052153679509,75.0,0.000809594231371,96.0,0.000814760748901,150.0,0.000947837351111,128.0,0.000699075363601,13.0,0.000734255859927,143.0,0.000916349468774,0.0,0.0,11.0,0.000566718186502,19.0,0.000310746937507,74.0,0.000854937843708
someth,602.0,0.00264992780928,253.0,0.00169165139946,162.0,0.00174872353976,209.0,0.00177380204709,447.0,0.00282455530631,383.0,0.00209176456453,47.0,0.00265461733973,331.0,0.00212106065849,31.0,0.00185517654099,52.0,0.0026790314271,116.0,0.00189719182899,175.0,0.00202181246823
