"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"DirecTV-10","USA","Commercial","Communications","GEO","1436.1","5,900",2007-07-07,"Baikonur Cosmodrome",35786.5
"DirecTV-11","USA","Commercial","Communications","GEO","1436.1","5,900",2008-03-19,"Sea Launch (Odyssey)",35786
"DirecTV-12","USA","Commercial","Communications","GEO","1436.04","5,900",2009-12-29,"Baikonur Cosmodrome",35785.5
"DirecTV-14","NR","Commercial","Communications","GEO","1443.51","5,900",2014-12-06,"Guiana Space Center",35931.5
"DirecTV-15","NR","Commercial","Communications","GEO","1434.07","5,500",2015-05-27,"Guiana Space Center",35747
"DirecTV-1R ","USA","Commercial","Communications","GEO","1436.1","3,420",1999-10-10,"Sea Launch (Odyssey)",35786.5
"DirecTV-4S ","USA","Commercial","Communications","GEO","1436.09","4,300",2001-11-27,"Guiana Space Center",35786
"DirecTV-5 (Tempo 1)","USA","Commercial","Communications","GEO","1436.08","4,300",2002-05-07,"Baikonur Cosmodrome",35786
"DirecTV-7S ","USA","Commercial","Communications","GEO","1436.1","5,483",2004-05-04,"Sea Launch",35785.5
"DirecTV-8","USA","Commercial","Communications","GEO","1436.1","3,800",2005-05-22,"Baikonur Cosmodrome",35786.5
"DirecTV-9S","USA","Commercial","Communications","GEO","1436.1","5,500",2006-10-13,"Guiana Space Center",35786
"DLR Tubsat ","NR","Government","Earth Science","LEO","99.2","45",1999-05-26,"Satish Dhawan Space Centre",722
"DMC 3-1 (Disaster Monitoring Constellation)","NR","Commercial","Earth Observation","LEO","97.71","447",2015-07-10,"Satish Dhawan Space Centre",649.5
"DMC 3-2 (Disaster Monitoring Constellation)","NR","Commercial","Earth Observation","LEO","97.71","447",2015-07-10,"Satish Dhawan Space Centre",649.5
"DMC 3-3 (Disaster Monitoring Constellation)","NR","Commercial","Earth Observation","LEO","97.69","447",2015-07-10,"Satish Dhawan Space Centre",648.5
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)","USA","Military","Earth Observation","LEO","101.9","1,134",1997-04-04,"Vandenberg AFB",848.5
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)","USA","Military","Earth Observation","LEO","101.8","1,152",1999-12-12,"Vandenberg AFB",844
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)","USA","Military","Earth Observation","LEO","101.87","1,154",2003-10-18,"Vandenberg AFB",847.5
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)","USA","Military","Earth Observation","LEO","101.89","1,154",2006-11-04,"Vandenberg AFB",848.5
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)","USA","Military","Earth Observation","LEO","101.94","1,155",2009-10-18,"Vandenberg AFB",850.5
"DMSP 5D-3 F19 (Defense Meteorological Satellites Program, USA 249)","NR","Military","Earth Observation","LEO","101.85","1,230",2014-04-03,"Vandenberg AFB",846
"Dove 1b-06  (0 Flock 1B-6 0901)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-03,"International Space Station",401
"Dove 1b-11  (0 Flock 1B-11 0815)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-05,"International Space Station",400
"Dove 1b-12  (0 Flock 1B-12 0824)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-05,"International Space Station",400
"Dove 1b-21  (0 Flock 1B-21 0817)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-02,"International Space Station",399.5
"Dove 1b-22  (0 Flock 1B-22 081F)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-02,"International Space Station",399.5
"Dove 1b-27 (0 Flock 1B27 0823)","NR","Commercial","Earth Observation","LEO","92.56","4",2015-02-27,"International Space Station",400
"Dove 1c-1  (0 Flock 1C-1 0903)","NR","Commercial","Earth Observation","LEO","96.96","4",2014-06-19,"Dombarovsky Air Base",613
"Dove 1c-10  (0 Flock 1C-10 090C)","NR","Commercial","Earth Observation","LEO","96.95","4",2014-06-19,"Dombarovsky Air Base",612.5
"Dove 1c-11 (0 Flock 1C-11 090D)","NR","Commercial","Earth Observation","LEO","96.98","4",2014-06-19,"Dombarovsky Air Base",614
"Dove 1c-2  (0 Flock 1C-2 0904)","NR","Commercial","Earth Observation","LEO","96.98","4",2014-06-19,"Dombarovsky Air Base",614
"Dove 1c-3  (0 Flock 1C-3 0905)","NR","Commercial","Earth Observation","LEO","97.02","4",2014-06-19,"Dombarovsky Air Base",616
"Dove 1c-4  (0 Flock 1C-4 0906)","NR","Commercial","Earth Observation","LEO","96.98","4",2014-06-19,"Dombarovsky Air Base",614.5
"Dove 1c-5  (0 Flock 1C-5 0907)","NR","Commercial","Earth Observation","LEO","97.01","4",2014-06-19,"Dombarovsky Air Base",615.5
"Dove 1c-6  (0 Flock 1C-6 0908)","NR","Commercial","Earth Observation","LEO","96.99","4",2014-06-19,"Dombarovsky Air Base",614.5
"Dove 1c-7  90 Flock 1C-7 0909)","NR","Commercial","Earth Observation","LEO","96.96","4",2014-06-19,"Dombarovsky Air Base",613
"Dove 1c-8  (0 Flock 1C-8 090A)","NR","Commercial","Earth Observation","LEO","97.02","4",2014-06-19,"Dombarovsky Air Base",616
"Dove 1c-9  (0 Flock 1C-9 090B)","NR","Commercial","Earth Observation","LEO","96.99","4",2014-06-19,"Dombarovsky Air Base",615
"Dove 1d-1  (0 Flock 1DP-1 0A16)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-03,"International Space Station",400
"Dove 1d-2  (0 Flock 1DP-2 0C02)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-03-03,"International Space Station",400
"Dove 1e-1  (0 Flock 1E-1 0B1A)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-14,"International Space Station",399.5
"Dove 1e-10  (0 Flock 1E-10 0B09)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-15,"International Space Station",399.5
"Dove 1e-11  (0 Flock 1E-11 0B1E)","NR","Commercial","Earth Observation","LEO","92.54","4",2015-07-15,"International Space Station",399
"Dove 1e-12  (0 Flock 1E-12 0B0A)","NR","Commercial","Earth Observation","LEO","92.54","4",2015-07-15,"International Space Station",399
"Dove 1e-13  (0 Flock 1E-13 0C07)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-16,"International Space Station",398
"Dove 1e-14  (0 Flock 1E-14 0B0F)","NR","Commercial","Earth Observation","LEO","92.53","4",2015-07-16,"International Space Station",399
"Dove 1e-2  (0 Flock 1E-2 0B10)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-13,"International Space Station",399.5
"Dove 1e-3  (0 Flock 1E-3 0C03)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-14,"International Space Station",399.5
"Dove 1e-4  (0 Flock 1E-4 0C06)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-14,"International Space Station",399
"Dove 1e-5  (0 Flock 1E-5 0B07)","NR","Commercial","Earth Observation","LEO","92.54","4",2015-07-15,"International Space Station",399
"Dove 1e-6  (0 Flock 1E-6 0B0B)","NR","Commercial","Earth Observation","LEO","92.55","4",2015-07-15,"International Space Station",399.5
"Dove 1e-7  (0 Flock 1E-7 0B0E)","NR","Commercial","Earth Observation","LEO","92.54","4",2015-07-14,"International Space Station",399
"Dove 1e-8  (0 Flock 1E-8 0B0D)","NR","Commercial","Earth Observation","LEO","92.54","4",2015-07-15,"International Space Station",399
"Dove 1e-9  (0 Flock 1E-9 0B1F)","NR","Commercial","Earth Observation","LEO","92.56","4",2015-07-15,"International Space Station",400
"Dove-3","NR","Commercial","Technology Development","LEO","98.8","4",2013-11-21,"Dombarovsky Air Base",704.5
"DRTS (Data Relay Test Satellite, Kodama)","Japan","Government","Technology Development","GEO","1436.12","2,650",2002-09-10,"Tanegashima Space Center",35787
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)","USA","Military","Communications","GEO","1436.12","1,156",2003-03-11,"Cape Canaveral",35786.5
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)","USA","Military","Communications","GEO","1436.1","1,156",2003-08-29,"Cape Canaveral",35787
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)","USA","Military","Communications","GEO","1436.1","1,156",1997-10-24,"Cape Canaveral",35787
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)","USA","Military","Communications","GEO","1436.13","1,156",2000-01-01,"Cape Canaveral",35787
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)","USA","Military","Communications","GEO","1436.12","1,156",2000-10-20,"Cape Canaveral",35786.5
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)","USA","Military","Communications","GEO","1436.1","1,156",1995-07-31,"Cape Canaveral",35784
"DSP 18 (USA 130) (Defense Support Program)","USA","Military","Earth Observation","GEO","1436.27","2,380",1997-02-23,"Cape Canaveral",35790
"DSP 20 (USA 149) (Defense Support Program)","USA","Military","Earth Observation","GEO","142.08","2,380",2000-05-18,"Cape Canaveral",35903
"DSP 21 (USA 159) (Defense Support Program)","USA","Military","Earth Observation","GEO","1436.14","2,380",2001-08-06,"Cape Canaveral",35787.5
"DSP 22 (USA 176) (Defense Support Program)","USA","Military","Earth Observation","GEO","1436.12","2,380",2004-02-14,"Cape Canaveral",35786.5
"DubaiSat-1","United Arab Emirates","Government","Earth Observation","LEO","98.2","200",2009-07-29,"Baikonur Cosmodrome",671
"DubaiSat-2","United Arab Emirates","Government","Earth Observation","LEO","96.56","300",2013-11-21,"Dombarovsky Air Base",594
"Duchifat-1","NR","Civil","Communications","LEO","96.93","1",2014-06-19,"Dombarovsky Air Base",612
"DX-1 (Dauria Experimental 1)","Russia","Commercial","Communications","LEO","97.33","27",2014-07-08,"Baikonur Cosmodrome",631
"Eagle 2 ($50Sat)","NR","Civil","Technology Development","LEO","97","2",2013-11-21,"Dombarovsky Air Base",617.5
"Echostar 1 ","USA","Commercial","Communications","GEO","1436.07","3,287",1995-12-28,"Xichang Satellite Launch Center",35785.5
"Echostar 10","USA","Commercial","Communications","GEO","1436","4,333",2006-02-15,"Sea Launch",35786
"Echostar 11","USA","Commercial","Communications","GEO","1436.1","5,500",2008-07-16,"Sea Launch",35785.5
"Echostar 12 (Rainbow-1) ","USA","Commercial","Communications","GEO","1436.11","4,328",2003-07-17,"Cape Canaveral",35786.5
"Echostar 14","USA","Commercial","Communications","GEO","1436.11","6,384",2010-03-20,"Baikonur Cosmodrome",35787
"Echostar 15","USA","Commercial","Communications","GEO","1436.57","5,521",2010-07-10,"Baikonur Cosmodrome",35796
"Echostar 16","USA","Commercial","Communications","GEO","1436.06","6,658",2012-11-20,"Baikonur Cosmodrome",35786
"Echostar 17","USA","Commercial","Communications","GEO","1436.13","6,100",2012-07-05,"Guiana Space Center",35787.5
"Echostar 3 ","USA","Commercial","Communications","GEO","1436.11","3,674",1997-10-05,"Cape Canaveral",35786.5
"Echostar 6 ","USA","Commercial","Communications","GEO","1436.12","3,700",2000-07-14,"Cape Canaveral",35786.5
"Echostar 7 ","USA","Commercial","Communications","GEO","1436.07","4,027",2002-02-21,"Cape Canaveral",35785.5
"Echostar 8 ","USA","Commercial","Communications","GEO","1436.1","4,660",2002-08-21,"Baikonur Cosmodrome",35786
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)","USA","Commercial","Communications","GEO","1436.08","4,000",2003-08-08,"Sea Launch",35786
"Echostar G1 (ICO G1, DBSD G1)","USA","Commercial","Communications","GEO","1436.1","6,600",2008-04-14,"Cape Canaveral",35786
"Egyptsat-2 (Misrsat 2)","NR","Military","Earth Observation","LEO","96.09","1,050",2014-04-16,"Baikonur Cosmodrome",571.5
"Electro-L1 (GOMS 2 [Geostationary Ioperational Meteorological Satellite 2]","Russia","Government","Earth Observation","GEO","1423.35","1,766",2011-01-20,"Baikonur Cosmodrome",35536.5
"ELISA-E12 (ELectronic Intelligence by SAtellite)","France","Military","Earth Observation","LEO","98.43","120",2011-12-17,"Guiana Space Center",683.5
"ELISA-E24 (ELectronic Intelligence by SAtellite)","France","Military","Earth Observation","LEO","98.43","120",2011-12-17,"Guiana Space Center",683.5
"ELISA-W11 (ELectronic Intelligence by SAtellite)","France","Military","Earth Observation","LEO","98.45","120",2011-12-17,"Guiana Space Center",684.5
"ELISA-W23 (ELectronic Intelligence by SAtellite)","France","Military","Earth Observation","LEO","98.46","120",2011-12-17,"Guiana Space Center",684.5
"EO-1 (Earth Observing 1)","USA","Government","Earth Observation/Research","LEO","98.4","572",2000-11-21,"Vandenberg AFB",684
"EOS-AM Terra ","USA","Government","Earth Observation","LEO","98.8","4,854",1999-12-18,"Vandenberg AFB",702.5
"EOS-CHEM Aura ","USA","Government","Earth Observation","LEO","98.8","2,967",2004-07-15,"Vandenberg AFB",702.5
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)","USA","Government","Earth Observation","LEO","98.8","2,934",2002-05-04,"Vandenberg AFB",702.5
"EROS A1 (Earth Resources Observation Satellite)","NR","Military/Commercial","Earth Observation","LEO","95.4","240",2000-12-05,"Svobodny Cosmodrome",471.5
"EROS B1 (Earth Resources Observation Satellite)","NR","Military/Commercial","Earth Observation","LEO","94.8","350",2006-04-25,"Svobodny Cosmodrome",511
"EstCube-1","NR","Civil","Technology Development","LEO","98.03","1",2013-05-07,"Guiana Space Center",664.5
"Eurasiasat 1 (Turksat 2A)","Turkey","Commercial","Communications","GEO","1436.06","3,535",2001-01-10,"Guiana Space Center",35785.5
"Eutelsat 10A (Eutelsat W-2A)","France","Commercial","Communications","GEO","1436.09","5,900",2009-04-03,"Baikonur Cosmodrome",35801.5
"Eutelsat 113 West-A (Satmex 6)","Mexico","Commercial","Communications","GEO","1436.1","5,456",2006-05-27,"Guiana Space Center",35786
"Eutelsat 115 West-A (Satmex 5) ","Mexico","Commercial","Communications","GEO","1436.08","3,542",1998-12-05,"Guiana Space Center",35785.5
"Eutelsat 115 West-B","NR","Commercial","Communications","GEO","1436","",2015-03-02,"Cape Canaveral",35789
"Eutelsat 12 West A (Atlantic Bird 1) ","France","Commercial","Communications","GEO","1436.1","2,700",2002-08-28,"Guiana Space Center",35786.5
"Eutelsat 16A (Eutelsat W3C)","France","Commercial","Communications","GEO","1436.12","5,400",2011-10-07,"Xichang Satellite Launch Center",35787
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)","France","Commercial","Communications","GEO","1436.06","2,500",2000-04-17,"Baikonur Cosmodrome",35785.5
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)","USA","Commercial","Communications","GEO","1436.1","5,000",2005-12-29,"Baikonur Cosmodrome",35785.5
"Eutelsat 25B (Es’hail 1)","France","Commercial","Communications","GEO","1434.03","",2013-08-29,"Guiana Space Center",35746
"Eutelsat 28A (Eurobird 1, Eurosat 1)","France","Commercial","Communications","GEO","1436.1","2,950",2001-03-08,"Guiana Space Center",35791
"Eutelsat 33A (Eurobird 3, E-bird) ","France","Commercial","Communications","GEO","1436.06","1,525",2003-09-27,"Guiana Space Center",35785.5
"Eutelsat 33B (Eutelsat 25C, Eutelsat 70A, Eutelsat W-5) ","France","Commercial","Communications","GEO","1436.04","3,170",2002-11-20,"Cape Canaveral",35785
"Eutelsat 36A (Eutelsat W-4) ","France","Commercial","Communications","GEO","1436.08","3,190",2000-05-24,"Cape Canaveral",35786
"Eutelsat 36B (Eutelsat W-7)","France","Commercial","Communications","GEO","1436.09","5,600",2009-11-24,"Baikonur Cosmodrome",35786.5
"Eutelsat 3B","NR","Commercial","Communications","GEO","1436.1","5,967",2014-05-26,"Sea Launch (Odyssey)",35786.5
"Eutelsat 48A (Eutelsat W-48, Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)","France","Commercial","Communications","GEO","1436.07","2,915",1996-11-21,"Cape Canaveral",35786
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)","France","Commercial","Communications","GEO","1436.12","5,102",2012-11-10,"Guiana Space Center",35787
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)","France","Commercial","Communications","GEO","1436.08","4,050",2002-07-05,"Guiana Space Center",35787
"Eutelsat 7 West A (Atlantic Bird 7)","France","Commercial","Communications","GEO","1436.09","4,600",2011-09-24,"Sea Launch (Odyssey)",35786.5
"Eutelsat 70B (Eutelsat W5A)","France","Commercial","Communications","GEO","1436.28","5,250",2012-12-03,"Sea Launch (Odyssey)",35790
"Eutelsat 7A (Eutelsat W3A) ","France","Commercial","Communications","GEO","1436.07","4,300",2004-03-15,"Baikonur Cosmodrome",35785.5
"Eutelsat 7B ","France","Commercial","Communications","GEO","1436.21","5,404",2013-05-14,"Baikonur Cosmodrome",35789
"Eutelsat 8 West A (Atlantic Bird 2) ","France","Commercial","Communications","GEO","1436.1","3,150",2001-09-25,"Guiana Space Center",35786
"Eutelsat 8 West B","NR","Commercial","Communications","GEO","1436.1","5,800",2015-08-20,"Guiana Space Center",35793.5
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)","France","Commercial","Communications","GEO","1436.06","3,800",2002-08-28,"Cape Canaveral",35785.5
"Eutelsat 8 West C","Mexico","Commercial","Communications","GEO","1436.1","5,474",2013-03-26,"Baikonur Cosmodrome",35787
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)","France","Commercial","Communications","GEO","1436.1","4,100",2006-03-11,"Guiana Space Center",35787
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)","France","Commercial","Communications","GEO","1436.07","4,892",2009-02-11,"Guiana Space Center",35786
"Eutelsat Hot Bird 13B (Hot Bird 8)","France","Commercial","Communications","GEO","1436.06","4,900",2006-08-04,"Baikonur Cosmodrome",35785.5
"Eutelsat Hot Bird 13C (Hot Bird 9)","France","Commercial","Communications","GEO","1436.09","4,880",2008-12-20,"Guiana Space Center",35786.5
"Eutelsat KA-SAT 9A (KA-SAT)","France","Commercial","Communications","GEO","1436.01","6,150",2010-12-26,"Baikonur Cosmodrome",35785
"exactView 1","Canada","Commercial","Communications","LEO","101.2","100",2012-07-22,"Baikonur Cosmodrome",813.5
"exactView 5 (AprizeSat 5)","USA","Commercial","Communications","LEO","97.8","12",2011-08-17,"Dombarovsky Air Base",652
"exactView5R (AprizeSat 7)","USA","Commercial","Communications","LEO","97.17","12",2013-11-21,"Dombarovsky Air Base",623.5
"exactView6 (AprizeSat 6)","Canada","Commercial","Communications","LEO","98","12",2011-08-17,"Dombarovsky Air Base",660.5
"Express AM22 (Sesat 2)","Russia","Commercial","Communications","GEO","1436.06","2,600",2003-12-28,"Baikonur Cosmodrome",35785.5
"Express-2A (Ekspress A No. 2)","Russia","Commercial","Communications","GEO","1436.11","2,600",2000-03-12,"Baikonur Cosmodrome",35786.5
"Express-A1R (Express 4A, Ekspress-A No. 4)","Russia","Commercial","Communications","GEO","1436.1","2,600",2002-06-10,"Baikonur Cosmodrome",35786
"Express-AM2","Russia","Commercial","Communications","GEO","1436.1","2,542",2005-03-29,"Baikonur Cosmodrome",35786.5
"Express-AM3","Russia","Commercial","Communications","GEO","1436.1","2,600",2005-06-24,"Baikonur Cosmodrome",35786
"Express-AM33","Russia","Commercial","Communications","GEO","1436.1","2,600",2008-01-28,"Baikonur Cosmodrome",35786.5
"Express-AM44","Russia","Commercial","Communications","GEO","1446.57","2,532",2009-02-11,"Baikonur Cosmodrome",35991
"Express-AM5","Russia","Commercial","Communications","GEO","1430.6","3,400",2013-12-26,"Baikonur Cosmodrome",35680
"Express-AM6","NR","Commercial","Communications","GEO","1440.09","3,358",2014-10-21,"Baikonur Cosmodrome",35865
"Express-AM7","NR","Commercial","Communications","GEO","1436.1","5,720",2015-03-18,"Baikonur Cosmodrome",35786.5
"Express-AT1","Russia","Commercial","Communications","GEO","1436.4","1,726",2014-03-15,"Baikonur Cosmodrome",35792.5
"Express-AT2","Russia","Commercial","Communications","GEO","1429.75","1,427",2014-03-15,"Baikonur Cosmodrome",35662
"Falconsat-3","USA","Civil/Military","Technology Development","LEO","95.4","46",2007-03-09,"Cape Canaveral",539
"FAST 1 (Sara Lilly and Emma, USA 222)","USA","Civil","Technology Development","LEO","97.54","55",2010-11-20,"Kodiak Launch Complex",640.5
"Fengniao 1A (Hummingbird 1A)","NR","Government","Technology Development","LEO","94.49","160",2012-11-20,"Taiyuan Launch Center",494
"Fengyun 2D (FY-2D)","China","Government","Earth Observation","GEO","1436","1,390",2006-12-08,"Xichang Satellite Launch Center",35784
"Fengyun 2E (FY-2E)","China","Government","Earth Observation","GEO","1436.04","1,390",2008-12-23,"Xichang Satellite Launch Center",35785
"Fengyun 2F (FY-2F)","China","Government","Earth Observation","GEO","1436.19","1,390",2012-01-12,"Xichang Satellite Launch Center",35788
"Fengyun 2G (FY 2G)","NR","Government","Earth Observation","GEO","1436.02","1,390",2014-12-31,"Xichang Satellite Launch Center",35785
"Fengyun 3A (FY-3A)","China","Government","Earth Observation","LEO","101.5","2,300",2008-05-27,"Taiyuan Launch Center",827.5
"Fengyun 3B (FY-3B)","China","Government","Earth Observation","LEO","101.5","2,300",2010-11-04,"Taiyuan Launch Center",827.5
"Fengyun 3C (FY-3C)","China","Government","Earth Observation","LEO","101.45","2,300",2013-09-23,"Taiyuan Launch Center",827.5
"Fermi Gamma-Ray Space Telescope (formerly GLAST)","USA","Government","Space Science","LEO","95.60","4,303",2008-06-11,"Cape Canaveral",546.5
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)","USA","Military","Earth Observation","LEO","107.35","",2010-09-21,"Vandenberg AFB",1104
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)","USA","Military","Earth Observation","LEO","107.00","",2012-04-03,"Vandenberg AFB",1087.5
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)","NR","Military","Earth Observation","LEO","106.70","",2013-12-06,"Vandenberg AFB",1073.5
"Firebird-A (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","NR","Civil/Government","Space Science","LEO","98.00","2",2013-12-06,"Vandenberg AFB",664.5
"Firebird-B (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","NR","Civil/Government","Space Science","LEO","98.00","2",2013-12-06,"Vandenberg AFB",664.5
"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","NR","Civil/Government","Space Science","LEO","95.70","2",2015-01-31,"Vandenberg AFB",552
"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)","NR","Civil/Government","Space Science","LEO","97.70","2",2015-01-31,"Vandenberg AFB",559.5
"Firefly","NR","Government/Civil","Earth Science","LEO","94.68","3",2013-11-19,"Wallops Island Flight Facility",443
"FLTSATCOM-8 (USA 46)","USA","Military","Communications","GEO","1,436.13","2,310",1989-09-25,"Cape Canaveral",35787
"Formosat-2 (ROCSAT-2, Republic of China Satellite 2) ","NR","Government/Military","Earth Observation","LEO","102.8","764",2004-05-21,"Vandenberg AFB",891.5
"FORTÉ (Fast On-orbit Recording of Transient Events)","USA","Government","Earth Observation","LEO","101","215",1997-08-29,"Vandenberg AFB",806.5
"FUNCube-1 (AO-73)","NR","Civil","Communications","LEO","97.4","1",2013-11-21,"Dombarovsky Air Base",638.5
"Galaxy-11","USA","Commercial","Communications","GEO","1436.11","4,488",1999-01-21,"Guiana Space Center",35790
"Galaxy-12","USA","Commercial","Communications","GEO","1436.07","1,760",2003-04-09,"Guiana Space Center",35785.5
"Galaxy-13 (Horizons 1, Galaxy 13L)","USA","Commercial","Communications","GEO","1436.07","4,060",2003-10-01,"Sea Launch (Odyssey)",35785.5
"Galaxy-14","USA","Commercial","Communications","GEO","1436.07","2,086",2005-08-13,"Baikonur Cosmodrome",35785.5
"Galaxy-15","USA","Commercial","Communications","GEO","1436.07","2,033",2005-10-13,"Guiana Space Center",35785.5
"Galaxy-16 ","USA","Commercial","Communications","GEO","1436.1","4,640",2006-06-18,"Sea Launch (Odyssey)",35786.5
"Galaxy-17","USA","Commercial","Communications","GEO","1436.1","4,100",2007-05-04,"Guiana Space Center",35786.5
"Galaxy-18","USA","Commercial","Communications","GEO","1436.1","4,642",2008-05-21,"Sea Launch (Odyssey)",35786
"Galaxy-19","USA","Commercial","Communications","GEO","1436.1","4,690",2008-09-24,"Sea Launch (Odyssey)",35786
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)","USA","Commercial","Communications","GEO","1436.08","3,515",1997-05-24,"Baikonur Cosmodrome",35786
"Galaxy-27 (G-27, Intelsat IA-7, Telstar 7)","USA","Commercial","Communications","GEO","1436.06","3,790",1999-09-25,"Guiana Space Center",35785
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)","USA","Commercial","Communications","GEO","1436.1","5,493",2005-06-23,"Sea Launch (Odyssey)",35786.5
"Galaxy-3C","USA","Commercial","Communications","GEO","1436.11","4,860",2002-06-15,"Sea Launch (Odyssey)",35786
"Galileo FOC FM1 (Galileo 5)","NR","Commercial","Navigation/Global Positioning","MEO","776.25","733",2014-08-22,"Guiana Space Center",21601
"Galileo FOC FM2 (Galileo 6)","NR","Commercial","Navigation/Global Positioning","MEO","705.11","733",2014-08-22,"Guiana Space Center",19864
"Galileo FOC FM3 (Galileo 7)","NR","Commercial","Navigation/Global Positioning","MEO","858.55","723",0015-03-27,"Guiana Space Center",23545
"Galileo FOC FM4 (Galileo 8)","NR","Commercial","Navigation/Global Positioning","MEO","850.5","723",2015-03-27,"Guiana Space Center",23367.5
"Galileo IOV-1 FM2","NR","Commercial","Navigation/Global Positioning","MEO","846.98","700",2011-10-21,"Guiana Space Center",23274.5
"Galileo IOV-1 PFM","NR","Commercial","Navigation/Global Positioning","MEO","846.88","700",2011-10-21,"Guiana Space Center",23273
"Galileo IOV-2 FM3","NR","Commercial","Navigation/Global Positioning","MEO","844.76","700",2012-10-12,"Guiana Space Center",23223.5
"Galileo IOV-2 FM4","NR","Commercial","Navigation/Global Positioning","MEO","844.69","700",2012-10-12,"Guiana Space Center",23222
"Gaofen 1","China","Government","Earth Observation","LEO","97.56","1,000",2013-04-26,"Jiuquan Satellite Launch Center",642
"Gaofen 2","NR","Government","Earth Observation","LEO","97.06","1,000",2014-08-19,"Taiyuan Launch Center",628
"Gaofen 8","NR","Government","Earth Observation","LEO","94.36","1,000",2015-06-26,"Taiyuan Launch Center",488
"Garpun-1 (Cosmos 2473)","Russia","Military","Communications","GEO","1436.1","5,000",2011-09-20,"Baikonur Cosmodrome",35786
"Garuda-1 (Aces 1)","Indonesia","Commercial","Communications","GEO","1436.16","4,291",2000-02-12,"Baikonur Cosmodrome",35787.5
"GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance)","NR","Commercial","Technology Development","LEO","98.9","5",2013-11-21,"Dombarovsky Air Base",706
"GEARRSAT-1 (Globalstar Experiment And Risk Reduction Satellite)","NR","Government","Technology Development","LEO","92.55","10",2015-03-04,"International Space Station",399.5
"GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite)","NR","Government","Technology Development","LEO","95","10",2015-05-20,"Cape Canaveral",528
"Genesis-1","USA","Commercial","Technology Development","LEO","95.6","1,360",2006-07-12,"Dombarovsky Air Base",545.5
"Genesis-2","USA","Commercial","Technology Development","LEO","95.6","1,360",2007-06-28,"Dombarovsky Air Base",547
"GeoEye-1 (Orbview 5)","USA","Commercial/Government","Earth Observation","LEO","98.3","1,955",2008-09-06,"Vandenberg AFB",678.5
