"Year"	"income_population_male"	"median_male"	"income_population_female"	"median_female"	"group"	"factor"	"Average_Income"	"Population"	"Difference_Income"	"Difference_Population"	"Differenc_Income_Norm"
1994	91254	21720	95147	11466	"All Races"	"Race"	16485.9221892586	186401	10254	-3893	0.621985223652273
1993	90194	21102	94417	11046	"All Races"	"Race"	15958.9838633668	184611	10056	-4223	0.630115305967767
1992	90175	20455	93517	10714	"All Races"	"Race"	15495.8885689088	183692	9741	-3342	0.628618356197042
1991	88653	20469	92569	10476	"All Races"	"Race"	15364.5313538091	181222	9993	-3916	0.650394064738106
1990	88220	20293	92245	10070	"All Races"	"Race"	15067.4956916854	180465	10223	-4025	0.678480366557617
1989	87454	19893	91399	9624	"All Races"	"Race"	14645.2472030103	178853	10269	-3945	0.701183111329745
1988	86584	18908	90593	8884	"All Races"	"Race"	13782.5930227964	177177	10024	-4009	0.727294202434934
1987	85713	17786	89661	8295	"All Races"	"Race"	12933.6698313319	175374	9491	-3948	0.733821113711129
1986	84471	17114	87822	7610	"All Races"	"Race"	12269.5763263743	172293	9504	-3351	0.774598873440359
1985	83631	16311	86531	7217	"All Races"	"Race"	11686.5073753247	170162	9094	-2900	0.778162346365467
1984	82183	15600	85555	6868	"All Races"	"Race"	11146.2312654258	167738	8732	-3372	0.783403806368663
1983	80909	14631	83830	6319	"All Races"	"Race"	10401.3096413114	164739	8312	-2921	0.799130137130695
1982	79722	13950	82505	5887	"All Races"	"Race"	9849.33972150135	162227	8063	-2783	0.818633555952819
1981	79688	13473	82139	5458	"All Races"	"Race"	9404.80319106206	161827	8015	-2451	0.852224106892224
1980	78661	12530	80826	4920	"All Races"	"Race"	8673.34798447522	159487	7610	-2165	0.877400516342876
1979	78129	11779	79921	4352	"All Races"	"Race"	8023.39565327428	158050	7427	-1792	0.925667924274569
1978	75609	10935	71864	4068	"All Races"	"Race"	7588.69194361002	147473	6867	3745	0.904899032801337
1977	74015	10123	65407	3941	"All Races"	"Race"	7222.84024042117	139422	6182	8608	0.855895990250994
1976	72775	9426	63170	3576	"All Races"	"Race"	6707.66170142337	135945	5850	9605	0.872137006963041
1975	71234	8853	60807	3385	"All Races"	"Race"	6334.89822858052	132041	5468	10427	0.863155145149859
1974	70863	8452	59642	3082	"All Races"	"Race"	5997.86000536378	130505	5370	11221	0.895319329760565
1973	69387	8056	57029	2796	"All Races"	"Race"	5683.09989241868	126416	5260	12358	0.925551213170984
1972	67474	7450	54487	2599	"All Races"	"Race"	5282.77902772198	121961	4851	12987	0.91826668776866
1971	66486	6903	52603	2408	"All Races"	"Race"	4917.50608368531	119089	4495	13883	0.914081228066591
1970	65008	6670	51647	2237	"All Races"	"Race"	4707.36529938708	116655	4433	13361	0.941715740772698
1969	63882	6429	50224	2132	"All Races"	"Race"	4537.66625769022	114106	4297	13658	0.946962547701178
1968	62501	5980	48544	2019	"All Races"	"Race"	4248.42465667072	111045	3961	13957	0.932345591625495
1967	61444	5553	46843	1801	"All Races"	"Race"	3929.95257971871	108287	3752	14601	0.954718898992047
1966	60085	5306	44065	1638	"All Races"	"Race"	3754.09966394623	104150	3668	16020	0.977065162980856
1965	59157	5023	42160	1521	"All Races"	"Race"	3565.74879832605	101317	3502	16997	0.982121904281094
1964	58533	4647	41704	1449	"All Races"	"Race"	3316.45946107725	100237	3198	16829	0.964281348085959
1963	57686	4511	40364	1372	"All Races"	"Race"	3218.7756654768	98050	3139	17322	0.975215524855479
1962	56624	4372	38988	1342	"All Races"	"Race"	3136.44755888382	95612	3030	17636	0.966061106750433
1961	55839	4189	38076	1279	"All Races"	"Race"	3009.1974125539	93915	2910	17763	0.967035259255485
1960	55172	4080	36526	1261	"All Races"	"Race"	2957.10970795437	91698	2819	18646	0.953295710476054
1959	54285	3997	34380	1223	"All Races"	"Race"	2921.37692437828	88665	2774	19905	0.949552239168986
1958	53543	3743	33340	1176	"All Races"	"Race"	2757.9536733308	86883	2567	20203	0.93076255225847
1957	52877	3677	32702	1200	"All Races"	"Race"	2730.47276785193	85579	2477	20175	0.90716890831644
1956	52016	3601	31823	1149	"All Races"	"Race"	2670.2876107778	83839	2452	20193	0.918253146254078
1955	51446	3358	29791	1120	"All Races"	"Race"	2537.28704900476	81237	2238	21655	0.882044465910092
1954	49712	3193	27715	1160	"All Races"	"Race"	2465.2875095251	77427	2033	21997	0.824650265798664
1953	49667	3221	27379	1166	"All Races"	"Race"	2490.73697531345	77046	2055	22288	0.825057009378273
1952	49242	3105	27150	1147	"All Races"	"Race"	2409.11954131323	76392	1958	22092	0.812745057446457
1951	47497	2952	25179	1045	"All Races"	"Race"	2291.30935934834	72676	1907	22318	0.832275219502599
1950	47585	2570	24651	953	"All Races"	"Race"	2018.18834099341	72236	1617	22934	0.801213626674736
1949	48258	2346	23510	960	"All Races"	"Race"	1891.96951287482	71768	1386	24748	0.732569943949041
1948	47370	2396	22725	1009	"All Races"	"Race"	1946.3306227263	70095	1387	24645	0.712623016770489
1947	46813	2230	21479	1017	"All Races"	"Race"	1848.49078955075	68292	1213	25334	0.656211005679288
2014	6411	40457	6564	25231	"Asian"	"Race"	32754.2282080925	12975	15226	-153	0.464856015023983
2013	6057	42077	6481	25497	"Asian"	"Race"	33506.6554474398	12538	16580	-424	0.494827065805127
2012	5810	39606	5972	23290	"Asian"	"Race"	31335.8292310304	11782	16316	-162	0.520681928654469
2011	5556	35835	5820	22013	"Asian"	"Race"	28763.6181434599	11376	13822	-264	0.480537598957896
2010	5406	35121	5604	23552	"Asian"	"Race"	29232.4735694823	11010	11569	-198	0.395758503723669
2009	4828	36886	4923	24170	"Asian"	"Race"	30466.0566095785	9751	12716	-95	0.417382536996997
2008	4788	36204	4787	23015	"Asian"	"Race"	29610.1887206266	9575	13189	1	0.445421004385982
2007	4709	36729	4786	24095	"Asian"	"Race"	30360.772090574	9495	12634	-77	0.416129074791297
2006	4692	37105	4687	22082	"Asian"	"Race"	29597.5044247788	9379	15023	5	0.507576577551683
2005	4518	33036	4520	21623	"Asian"	"Race"	27328.237220624	9038	11413	-2	0.417626644113981
2004	4352	32466	4294	20616	"Asian"	"Race"	26580.746703678	8646	11850	58	0.445811403724046
2003	4266	31737	4252	17879	"Asian"	"Race"	24819.3883540737	8518	13858	14	0.558353808010962
2002	4139	30839	4137	17898	"Asian"	"Race"	24370.0636781054	8276	12941	2	0.531020360510034
2014	17036	26675	14691	17585	"Hispanic"	"Race"	22465.9291770416	31727	9090	2345	0.404612688323136
2013	16757	24201	14376	16952	"Hispanic"	"Race"	20853.6957247936	31133	7249	2381	0.347612245602176
2012	16005	24592	13689	16725	"Hispanic"	"Race"	20965.2955142453	29694	7867	2316	0.375239165823091
2011	15665	23731	13278	16829	"Hispanic"	"Race"	20564.6124106001	28943	6902	2387	0.335625095294396
2010	15106	22420	12947	16292	"Hispanic"	"Race"	19591.8099312017	28053	6128	2159	0.312783761251207
2009	14919	22256	12035	16210	"Hispanic"	"Race"	19556.4522519849	26954	6046	2884	0.309156278556933
2008	14855	24003	11828	16417	"Hispanic"	"Race"	20640.2893602668	26683	7586	3027	0.367533607091927
2007	14609	24451	11265	16748	"Hispanic"	"Race"	21097.2744453892	25874	7703	3344	0.365118253542153
2006	14358	23452	11090	15758	"Hispanic"	"Race"	20099.0268783401	25448	7694	3268	0.382804602758728
2005	13714	22089	10638	15036	"Hispanic"	"Race"	19007.9465341656	24352	7053	3076	0.371055336636321
2004	13256	21556	10396	14452	"Hispanic"	"Race"	18433.5078640284	23652	7104	2860	0.385385139518828
2003	12753	21053	10175	13642	"Hispanic"	"Race"	17764.1424895324	22928	7411	2578	0.417188727481045
2002	12624	20702	10018	13364	"Hispanic"	"Race"	17455.2866354562	22642	7338	2606	0.420388398841564
2001	11766	20189	9691	12583	"Hispanic"	"Race"	16753.7692594491	21457	7606	2075	0.453987391267802
2000	11343	19498	9431	12248	"Hispanic"	"Race"	16206.6382015982	20774	7250	1912	0.447347556588576
1999	10943	17867	9039	11376	"Hispanic"	"Race"	14930.7499249324	19982	6491	1904	0.434740386962135
1998	9617	17257	8405	10862	"Hispanic"	"Race"	14274.5355121518	18022	6395	1212	0.448000566782434
1997	9585	16216	8055	10260	"Hispanic"	"Race"	13496.2959183673	17640	5956	1530	0.441306269218236
1996	9305	15437	7744	9484	"Hispanic"	"Race"	12733.0272156725	17049	5953	1561	0.467524328595853
1995	8577	14840	7478	8928	"Hispanic"	"Race"	12086.3446901277	16055	5912	1099	0.489147062372713
1994	8375	14500	7298	8613	"Hispanic"	"Race"	11758.7682000893	15673	5887	1077	0.500647678381421
1993	8208	13689	7053	8100	"Hispanic"	"Race"	11105.9964615687	15261	5589	1155	0.503241651421395
1992	8056	13408	6749	8308	"Hispanic"	"Race"	11083.116514691	14805	5100	1307	0.460159377846457
1991	6939	13818	6084	8013	"Hispanic"	"Race"	11106.0580511403	13023	5805	855	0.522687705508975
1990	6767	13470	5903	7532	"Hispanic"	"Race"	10703.4637726914	12670	5938	864	0.554773681315211
1989	6592	13400	5677	7647	"Hispanic"	"Race"	10738.0242073519	12269	5753	915	0.53575964152336
1988	6342	13030	5532	6990	"Hispanic"	"Race"	10216.0131379485	11874	6040	810	0.591228683679329
1987	6102	12230	5357	6630	"Hispanic"	"Race"	9612.04031765425	11459	5600	745	0.582602633253066
1986	5870	11532	5096	6338	"Hispanic"	"Race"	9118.30093014773	10966	5194	774	0.569623665613748
1985	5523	11434	4843	6020	"Hispanic"	"Race"	8904.57669303492	10366	5414	680	0.608001950753569
1984	5174	11101	4617	5830	"Hispanic"	"Race"	8615.43090593402	9791	5271	557	0.61180921274286
1983	4236	11278	4098	5402	"Hispanic"	"Race"	8388.64938804896	8334	5876	138	0.700470329391922
1982	4092	10471	3832	5140	"Hispanic"	"Race"	7892.95961635538	7924	5331	260	0.675412045559359
1981	4131	10203	3787	5060	"Hispanic"	"Race"	7743.21962616822	7918	5143	344	0.66419399788419
1980	3996	9659	3617	4405	"Hispanic"	"Race"	7162.78063838172	7613	5254	379	0.733514017146703
1979	3852	8871	3495	4150	"Hispanic"	"Race"	6625.19967333606	7347	4721	357	0.712582296802352
1978	3447	8380	2949	3788	"Hispanic"	"Race"	6262.76923076923	6396	4592	498	0.733221971111329
1977	3376	7797	2780	3669	"Hispanic"	"Race"	5932.82846003899	6156	4128	596	0.695789542509859
1976	3099	7050	2568	3359	"Hispanic"	"Race"	5377.42403388036	5667	3691	531	0.686388125010214
1975	2945	6777	2380	3202	"Hispanic"	"Race"	5179.15962441315	5325	3575	565	0.690266425299662
1974	3052	6443	2353	3008	"Hispanic"	"Race"	4947.61517113784	5405	3435	699	0.694273883716391
2014	73897	41072	75502	24005	"White"	"Race"	32446.8242357713	149399	17067	-1605	0.525999089340285
2013	74159	40856	75598	23733	"White"	"Race"	32212.2334047824	149757	17123	-1439	0.531568233249478
2012	73240	38751	74529	22902	"White"	"Race"	30757.373995899	147769	15849	-1289	0.515291064904085
2011	72902	38148	74206	22226	"White"	"Race"	30116.4318187998	147108	15922	-1304	0.528681488424565
2010	72723	37154	73995	21715	"White"	"Race"	29367.5743058111	146718	15439	-1272	0.525715874223394
2009	73485	36785	74693	21939	"White"	"Race"	29301.4850517621	148178	14846	-1208	0.506663739867588
2008	73748	37409	75322	21749	"White"	"Race"	29496.3246125981	149070	15660	-1574	0.530913603836306
2007	73617	37373	74902	21687	"White"	"Race"	29462.1416451767	148519	15686	-1285	0.532412076111513
2006	73246	36564	74761	20727	"White"	"Race"	28564.4462153817	148007	15837	-1515	0.55443049308871
2005	73219	35345	75014	19451	"White"	"Race"	27301.7672785412	148233	15894	-1795	0.582160115784609
2004	72797	33678	74813	18435	"White"	"Race"	25952.4085156832	147610	15243	-2016	0.587344330326357
2003	72535	32331	74486	18301	"White"	"Race"	25222.9094551119	147021	14030	-1951	0.556240350660918
2002	72146	32034	74814	17389	"White"	"Race"	24578.5629422972	146960	14645	-2668	0.595844437056059
2001	72649	31791	75117	17229	"White"	"Race"	24388.3921335084	147766	14562	-2468	0.59708733237861
2000	72530	31508	75206	16665	"White"	"Race"	23952.0714653165	147736	14843	-2676	0.619695879811198
1999	71553	30869	75158	15911	"White"	"Race"	23206.2251296767	146711	14958	-3605	0.644568425774312
1998	71707	29862	74106	15217	"White"	"Race"	22419.0259853374	145813	14645	-2399	0.653239797731543
1997	71150	27559	73709	14389	"White"	"Race"	20857.6729854548	144859	13170	-2559	0.631422307233609
1996	71084	26290	73445	13514	"White"	"Race"	19797.6467698524	144529	12776	-2361	0.645329222635446
1995	70754	25481	73506	12807	"White"	"Race"	19023.1111604048	144260	12674	-2752	0.666242229945014
1994	70919	24122	73665	11945	"White"	"Race"	17917.8646530736	144584	12177	-2746	0.679601070538902
1993	70179	23171	73128	11599	"White"	"Race"	17265.9345391363	143307	11572	-2949	0.670221468393155
1992	69907	22399	72559	11252	"White"	"Race"	16721.7494770682	142466	11147	-2652	0.666616852219124
1991	69976	22174	72949	11000	"White"	"Race"	16470.7841455309	142925	11174	-2973	0.678413359149747
1990	69987	21958	72939	10581	"White"	"Race"	16152.0094664372	142926	11377	-2952	0.704370562909876
1989	69558	21660	72509	10013	"White"	"Race"	15715.534902546	142067	11647	-2951	0.741113813320674
1988	69143	20703	72216	9316	"White"	"Race"	14885.729136454	141359	11387	-3073	0.764960849120526
1987	68762	19694	71817	8698	"White"	"Race"	14076.5199211831	140579	10996	-3055	0.781158984008016
1986	68131	18872	70671	7891	"White"	"Race"	13281.0268800161	138802	10981	-2540	0.82681859612249
1985	67859	17692	69972	7438	"White"	"Race"	12486.4012014714	137831	10254	-2113	0.821213401247406
1984	67126	16957	69497	7060	"White"	"Race"	11922.6221207264	136623	9897	-2371	0.83010263176881
1983	NA	NA	NA	NA	"White"	"Race"	NA	NA	NA	NA	NA
1982	66476	15125	67894	6145	"White"	"Race"	10587.6172508745	134370	8980	-1418	0.848160618883189
1981	66327	14672	67889	5618	"White"	"Race"	10092.3149698993	134216	9054	-1562	0.897118255524517
1980	65564	13681	67084	4980	"White"	"Race"	9280.64806103371	132648	8701	-1520	0.937542286139752
1979	65506	12564	66447	4507	"White"	"Race"	8506.771448925	131953	8057	-941	0.947127832030584
1978	63916	11575	59833	4299	"White"	"Race"	8057.03292147815	123749	7276	4083	0.903061967216728
1977	62678	10818	54110	4184	"White"	"Race"	7744.34739870535	116788	6634	8568	0.85662479463525
1976	61921	10119	52538	3853	"White"	"Race"	7242.83379201286	114459	6266	9383	0.865130994295344
1975	60755	9514	50628	3616	"White"	"Race"	6833.1246060889	111383	5898	10127	0.863148316473605
1974	60397	9041	49757	3273	"White"	"Race"	6435.57145450914	110154	5768	10640	0.89626850401274
1973	59151	8574	47526	2883	"White"	"Race"	6038.58499957817	106677	5691	11625	0.942439329809476
1972	57870	7903	45594	2640	"White"	"Race"	5583.72738343772	103464	5263	12276	0.942560343402679
2014	11882	26569	14569	20966	"Black"	"Race"	23482.9122528449	26451	5603	-2687	0.238599026375922
2013	11690	25120	14456	21068	"Black"	"Race"	22879.6683240266	26146	4052	-2766	0.177100469404308
2012	11366	24923	14022	20021	"Black"	"Race"	22215.5853158973	25388	4902	-2656	0.220655901264603
2011	11082	23475	13850	19755	"Black"	"Race"	21408.4991175999	24932	3720	-2768	0.173762764945152
2010	10931	23296	13609	19646	"Black"	"Race"	21271.8414832926	24540	3650	-2678	0.171588341463845
2009	10661	23738	13311	19470	"Black"	"Race"	21368.0956115468	23972	4268	-2650	0.199737032143083
2008	10776	25254	13172	20197	"Black"	"Race"	22472.5233004844	23948	5057	-2396	0.225030359625481
2007	10596	25822	13058	19752	"Black"	"Race"	22471.1054367126	23654	6070	-2462	0.270124672642184
2006	10434	25064	12840	19103	"Black"	"Race"	21775.3843774169	23274	5961	-2406	0.273749473106069
2005	10300	22653	12872	17631	"Black"	"Race"	19863.2889694459	23172	5022	-2572	0.252828220327708
2004	10070	22690	12623	17359	"Black"	"Race"	19724.6268452827	22693	5331	-2553	0.27027127264894
2003	10003	21986	12564	16581	"Black"	"Race"	18976.8087029734	22567	5405	-2561	0.284821335589114
2002	9781	21561	12332	16729	"Black"	"Race"	18866.2853977298	22113	4832	-2551	0.256118249996442
2001	9944	21466	12414	16282	"Black"	"Race"	18587.6488057966	22358	5184	-2470	0.278894875525266
2000	9905	21343	12461	15881	"Black"	"Race"	18299.8996691407	22366	5462	-2556	0.298471581743731
1999	10317	20441	12383	14776	"Black"	"Race"	17350.7050660793	22700	5665	-2066	0.326499700065509
1998	9776	19321	12272	13137	"Black"	"Race"	15878.9622641509	22048	6184	-2496	0.389446104671542
1997	9671	18096	11961	13048	"Black"	"Race"	15304.8051035503	21632	5048	-2290	0.329831054093528
1996	9410	16491	11817	11772	"Black"	"Race"	13863.9484618646	21227	4719	-2407	0.340379222627702
1995	9339	16006	11607	10961	"Black"	"Race"	13210.3676596964	20946	5045	-2268	0.381897016794759
1994	9199	14982	11450	10544	"Black"	"Race"	12521.1011671267	20649	4438	-2251	0.354441669367839
1993	8947	14605	11267	9508	"Black"	"Race"	11764.0037102998	20214	5097	-2320	0.43327085960857
1992	9104	13064	11076	8887	"Black"	"Race"	10771.410703667	20180	4177	-1972	0.387785789151832
1991	8943	12962	10727	8816	"Black"	"Race"	10700.9861718353	19670	4146	-1784	0.387440926791604
1990	8820	12868	10687	8328	"Black"	"Race"	10380.7400420362	19507	4540	-1867	0.437348395356741
1989	8806	12609	10577	7875	"Black"	"Race"	10025.730227519	19383	4734	-1771	0.472185057104964
1988	8610	12044	10380	7349	"Black"	"Race"	9477.69668246446	18990	4695	-1770	0.495373523472918
1987	8488	11215	10164	6949	"Black"	"Race"	8890.33647866181	18652	4266	-1676	0.4798468550925
1986	8285	10822	9819	6566	"Black"	"Race"	8513.6889085285	18104	4256	-1534	0.499900812177503
1985	8127	10768	9611	6277	"Black"	"Race"	8334.636543015	17738	4491	-1484	0.538835734086542
1984	7851	9448	9460	6164	"Black"	"Race"	7653.38154930391	17311	3284	-1609	0.42909137338105
1983	7580	8967	9109	5543	"Black"	"Race"	7098.15129726167	16689	3424	-1529	0.482379123324817
1982	7290	8838	8921	5263	"Black"	"Race"	6870.65838011227	16211	3575	-1631	0.520328591849095
1981	7459	8501	8829	4903	"Black"	"Race"	6550.68430746562	16288	3598	-1370	0.549255593938402
1980	7387	8009	8596	4580	"Black"	"Race"	6164.81029844209	15983	3429	-1209	0.556221494904156
1979	7288	7617	8533	3998	"Black"	"Race"	5665.10523987106	15821	3619	-1245	0.638823083908389
1978	6971	6861	7959	3707	"Black"	"Race"	5179.64125920964	14930	3154	-988	0.608922479793758
1977	6777	6292	7562	3455	"Black"	"Race"	4795.84308529186	14339	2837	-785	0.591553966538367
1976	6651	5983	7188	3398	"Black"	"Race"	4640.3466290917	13839	2585	-537	0.557070453270425
1975	6485	5560	6969	3107	"Black"	"Race"	4289.37735989297	13454	2453	-484	0.571877872750559
1974	6409	5486	6779	2814	"Black"	"Race"	4112.51744009706	13188	2672	-370	0.649723688451261
1973	6394	5113	6513	2548	"Black"	"Race"	3818.6756023863	12907	2565	-119	0.671698847212139
1972	6043	4733	6274	2444	"Black"	"Race"	3567.03539823009	12317	2289	-231	0.641709359300378
1971	6024	4316	6151	2145	"Black"	"Race"	3219.17691991786	12175	2171	-127	0.674395988169359
1970	5844	4157	5844	2063	"Black"	"Race"	3110	11688	2094	0	0.673311897106109
1969	5870	3937	5728	1840	"Black"	"Race"	2901.3372995344	11598	2097	142	0.722770151659554
1968	5715	3718	5629	1649	"Black"	"Race"	2691.34264809591	11344	2069	86	0.768761272914763
1967	5572	3346	5397	1460	"Black"	"Race"	2418.04467134652	10969	1886	175	0.779969047862856
1966	6029	3097	5383	1305	"Black"	"Race"	2251.71994391868	11412	1792	646	0.795836091801617
1965	5881	2847	5165	1174	"Black"	"Race"	2064.72179974651	11046	1673	716	0.810278653620741
1964	5784	2798	5090	1065	"Black"	"Race"	1986.80172889461	10874	1733	694	0.87225613648131
1963	5714	2498	4881	963	"Black"	"Race"	1790.84237848042	10595	1535	833	0.857138527904669
1962	5553	2293	4755	949	"Black"	"Race"	1673.02328288708	10308	1344	798	0.803336100428146
1961	5416	2289	4764	909	"Black"	"Race"	1643.19253438114	10180	1380	652	0.839828547857745
1960	5384	2260	4525	837	"Black"	"Race"	1610.17913008376	9909	1423	859	0.883752604547778
1959	5294	1981	4243	808	"Black"	"Race"	1459.13368983957	9537	1173	1051	0.803901663136137
1958	5120	1981	4135	750	"Black"	"Race"	1431.00702323069	9255	1231	985	0.860233374131775
1957	5044	2069	4029	760	"Black"	"Race"	1487.71916675851	9073	1309	1015	0.87987036078327
1956	4978	2003	4155	727	"Black"	"Race"	1422.49195226103	9133	1276	823	0.897017377125976
1955	4860	1865	3806	653	"Black"	"Race"	1332.70459266097	8666	1212	1054	0.909428846178157
1954	4693	1674	3475	699	"Black"	"Race"	1259.19527424094	8168	975	1218	0.774304049534925
1953	4676	1873	3641	757	"Black"	"Race"	1384.43970181556	8317	1116	1035	0.806102279887289
1952	NA	1784	NA	517	"Black"	"Race"	NA	NA	1267	NA	NA
1951	NA	1708	NA	518	"Black"	"Race"	NA	NA	1190	NA	NA
1950	NA	1471	NA	474	"Black"	"Race"	NA	NA	997	NA	NA
1949	NA	1196	NA	495	"Black"	"Race"	NA	NA	701	NA	NA
1948	NA	1363	NA	492	"Black"	"Race"	NA	NA	871	NA	NA
2001	4165	31096	4164	18525	"Asian"	"Race"	24811.2546524193	8329	12571	1	0.506665228184027
2000	4303	30833	4192	17356	"Asian"	"Race"	24182.5486756916	8495	13477	111	0.557302713652641
1999	3934	27878	4003	16797	"Asian"	"Race"	22289.3338792995	7937	11081	-69	0.497143614071443
1998	3500	25124	3591	15228	"Asian"	"Race"	20112.5014807502	7091	9896	-91	0.492032281984988
1997	3330	25046	3415	14312	"Asian"	"Race"	19611.3654558933	6745	10734	-85	0.547335677576413
1996	3277	23374	3226	14634	"Asian"	"Race"	19038.2718745195	6503	8740	51	0.459075280445884
1995	3095	22162	3025	12862	"Asian"	"Race"	17565.1862745098	6120	9300	70	0.529456383476897
1994	2218	22890	2258	12362	"Asian"	"Race"	17578.9579982127	4476	10528	-40	0.59889784144603
1993	2330	21641	2509	12365	"Asian"	"Race"	16831.4352138872	4839	9276	-179	0.551111648063537
1992	2558	19890	2605	11871	"Asian"	"Race"	15844.0005810575	5163	8019	-47	0.506122172804462
1991	2358	19628	2393	11026	"Asian"	"Race"	15295.3150915597	4751	8602	-35	0.562394429176996
1990	2235	19394	2333	11086	"Asian"	"Race"	15150.8817863398	4568	8308	-98	0.54835092222095
1989	2112	20610	2235	11209	"Asian"	"Race"	15776.4975845411	4347	9401	-123	0.595886377798566
1988	2123	18422	2093	9244	"Asian"	"Race"	13865.6541745731	4216	9178	30	0.661923331163898
2014	110372	36302	112599	22240	"US"	"Region"	29200.775455104	222971	14062	-2227	0.481562553762321
2013	109937	35630	112066	22126	"US"	"Region"	28813.2485867308	222003	13504	-2129	0.468673289627568
2012	107534	33904	109383	21520	"US"	"Region"	27659.2194065011	216917	12384	-1849	0.447734978272352
2011	106228	32986	108332	21102	"US"	"Region"	26985.7320656227	214560	11884	-2104	0.440380863898783
2010	105191	32205	107220	20775	"US"	"Region"	26435.4089712868	212411	11430	-2029	0.432374623461088
2009	105025	32184	106229	20957	"US"	"Region"	26538.5069773827	211254	11227	-1204	0.423045652476538
2008	105428	33161	106403	20867	"US"	"Region"	26985.7070447668	211831	12294	-975	0.45557450021989
2007	104789	33196	105230	20922	"US"	"Region"	27046.1134659245	210019	12274	-441	0.453817514870077
2006	103909	32265	104582	20014	"US"	"Region"	26119.7271488937	208491	12251	-673	0.469032464625837
2005	102986	31275	104245	18576	"US"	"Region"	24886.924591398	207231	12699	-1259	0.510267950278972
2004	101772	30516	103384	17667	"US"	"Region"	24041.0199068026	205156	12849	-1612	0.534461518263801
2003	100769	29931	102713	17259	"US"	"Region"	23534.4679431104	203482	12672	-1944	0.5384442950073
2002	99788	29238	102487	16812	"US"	"Region"	22942.0985687801	202275	12426	-2699	0.541624383782809
2001	98873	29101	101941	16614	"US"	"Region"	22762.1129353531	200814	12487	-3068	0.548587032999285
2000	98504	28343	101704	16079	"US"	"Region"	22112.9899304723	200208	12264	-3200	0.554606140488486
1999	97063	27293	101036	15304	"US"	"Region"	21178.2765334504	198099	11989	-3973	0.566098944881739
1998	94948	26492	98694	14430	"US"	"Region"	20344.3304448415	193642	12062	-3746	0.592892453880606
1997	94168	25212	97447	13703	"US"	"Region"	19359.026469744	191615	11509	-3279	0.594503035469644
1996	93439	23834	96558	12815	"US"	"Region"	18234.0557798281	189997	11019	-3119	0.604308779848642
1995	92066	22562	96007	12130	"US"	"Region"	17236.7006534697	188073	10432	-3941	0.605220233832865
1994	91254	21720	95147	11466	"US"	"Region"	16485.9221892586	186401	10254	-3893	0.621985223652273
1993	90194	21102	94417	11046	"US"	"Region"	15958.9838633668	184611	10056	-4223	0.630115305967767
1992	90175	20455	93517	10714	"US"	"Region"	15495.8885689088	183692	9741	-3342	0.628618356197042
1991	88653	20469	92569	10476	"US"	"Region"	15364.5313538091	181222	9993	-3916	0.650394064738106
1990	88220	20293	92245	10070	"US"	"Region"	15067.4956916854	180465	10223	-4025	0.678480366557617
1989	87454	19893	91399	9624	"US"	"Region"	14645.2472030103	178853	10269	-3945	0.701183111329745
1988	86584	18908	90593	8884	"US"	"Region"	13782.5930227964	177177	10024	-4009	0.727294202434934
1987	85713	17786	89661	8295	"US"	"Region"	12933.6698313319	175374	9491	-3948	0.733821113711129
1986	84471	17114	87822	7610	"US"	"Region"	12269.5763263743	172293	9504	-3351	0.774598873440359
1985	83631	16311	86531	7217	"US"	"Region"	11686.5073753247	170162	9094	-2900	0.778162346365467
1984	82183	15600	85555	6868	"US"	"Region"	11146.2312654258	167738	8732	-3372	0.783403806368663
1983	80909	14631	83830	6319	"US"	"Region"	10401.3096413114	164739	8312	-2921	0.799130137130695
1982	79722	13950	82505	5887	"US"	"Region"	9849.33972150135	162227	8063	-2783	0.818633555952819
1981	79688	13473	82139	5458	"US"	"Region"	9404.80319106206	161827	8015	-2451	0.852224106892224
1980	78661	12530	80826	4920	"US"	"Region"	8673.34798447522	159487	7610	-2165	0.877400516342876
1979	78129	11779	79921	4352	"US"	"Region"	8023.39565327428	158050	7427	-1792	0.925667924274569
1978	75609	10935	71864	4068	"US"	"Region"	7588.69194361002	147473	6867	3745	0.904899032801337
1977	74015	10123	65407	3941	"US"	"Region"	7222.84024042117	139422	6182	8608	0.855895990250994
1976	72775	9426	63170	3576	"US"	"Region"	6707.66170142337	135945	5850	9605	0.872137006963041
1975	71234	8853	60807	3385	"US"	"Region"	6334.89822858052	132041	5468	10427	0.863155145149859
1974	70863	8452	59642	3082	"US"	"Region"	5997.86000536378	130505	5370	11221	0.895319329760565
1973	69387	8056	57029	2796	"US"	"Region"	5683.09989241868	126416	5260	12358	0.925551213170984
1972	67474	7450	54487	2599	"US"	"Region"	5282.77902772198	121961	4851	12987	0.91826668776866
1971	66486	6903	52603	2408	"US"	"Region"	4917.50608368531	119089	4495	13883	0.914081228066591
1970	65008	6670	51647	2237	"US"	"Region"	4707.36529938708	116655	4433	13361	0.941715740772698
1969	63882	6429	50224	2132	"US"	"Region"	4537.66625769022	114106	4297	13658	0.946962547701178
1968	62501	5980	48544	2019	"US"	"Region"	4248.42465667072	111045	3961	13957	0.932345591625495
1967	61444	5553	46843	1801	"US"	"Region"	3929.95257971871	108287	3752	14601	0.954718898992047
1966	60085	5306	44065	1638	"US"	"Region"	3754.09966394623	104150	3668	16020	0.977065162980856
1965	59157	5023	42160	1521	"US"	"Region"	3565.74879832605	101317	3502	16997	0.982121904281094
