NYC Zip Code,Neighborhood,UHF code,Obese Percent,popdense,pop,area
11216,Bedford Stuyvesant-Crown Heights ,203,29.3,57545.77,55775,0.9692284941
11233,Bedford Stuyvesant-Crown Heights ,203,29.3,46112.06,61955,1.3435747611
11238,Bedford Stuyvesant-Crown Heights ,203,29.3,42063.29,48965,1.1640791769
11201,Downtown Heightts-Slope ,202,18.1,26893.82,47746,1.7753521069
11205,Downtown Heightts-Slope ,202,18.1,26893.82,35622,1.3245422182
11215,Downtown Heightts-Slope ,202,18.1,27309.38,63001,2.3069362981
11217,Downtown Heightts-Slope ,202,18.1,46140.97,35353,0.7661954224
11231,Downtown Heightts-Slope ,202,18.1,22776.82,32974,1.4476998984
11211,Greenpoint ,201,18.1,44840.17,85089,1.8976065434
11222,Greenpoint ,201,18.1,21724.29,39360,1.8117968412
10454,Hunts Point-Mott Haven ,107,34.3,33618.5,34976,1.0403795529
10455,Hunts Point-Mott Haven ,107,34.3,50333.01,37465,0.7443425299
10459,Hunts Point-Mott Haven ,107,34.3,46368.65,39080,0.8428108215
10474,Hunts Point-Mott Haven ,107,34.3,7487.55,11354,1.5163838639
10451,High-Bridge-Morisania ,106,34.3,39106.39,40961,1.0474247303
10452,High-Bridge-Morisania ,106,34.3,74380.42,72138,0.9698520121
10456,High-Bridge-Morisania ,106,34.3,70924.4,76656,1.0808128091
10453,Crotona-Tremont ,105,34.3,87970.27,76775,0.8727380284
10457,Crotona-Tremont ,105,34.3,58547.95,69048,1.1793410359
10460,Crotona-Tremont ,105,34.3,33064.79,53707,1.6242958144
10461,Pelham-Throgs Neck ,104,34.5,21734.34,49808,2.2916729931
10462,Pelham-Throgs Neck ,104,34.5,48907.02,72077,1.4737557103
10465,Pelham-Throgs Neck ,104,34.5,11299.91,42500,3.7610919025
10472,Pelham-Throgs Neck ,104,34.5,57252.59,64867,1.132996778
10473,Pelham-Throgs Neck ,104,34.5,26210.61,56166,2.1428726764
10458,Fordham-Bronx Park ,103,25.7,62296.26,77840,1.2495132132
10467,Fordham-Bronx Park ,103,25.7,33219.75,94342,2.8399370856
10468,Fordham-Bronx Park ,103,25.7,70721.85,78039,1.103463781
10464,NE Bronx ,102,29.9,1389.08,4634,3.3360209635
10466,NE Bronx ,102,29.9,33497.36,68787,2.053505112
10469,NE Bronx ,102,29.9,24026.94,63345,2.6364156235
10470,NE Bronx ,102,29.9,18653.9,15780,0.8459357025
10475,NE Bronx ,102,29.9,27132.6,38086,1.4036988715
10463,Kingsbridge-Riverdale ,101,24,38449.34,65576,1.7055169217
10471,Kingsbridge-Riverdale ,101,24,8057.39,23413,2.9057796631
