"author","channel","content_sentiment_polarity","content_subjectivity","id","n_tokens_content","n_tokens_title","num_hrefs","num_imgs","num_keywords","num_self_hrefs","num_videos","post_date","shares","timedelta","title_sentiment_polarity","title_subjectivity","type"
"Max Knoblauch","Watercooler",0.000382653061224488,0.519132653061224,"56c366e0b589e47f360006ab",211,15,90,1,6,1,0,"2016-02-16T18:13:44+00:00",26300,8,0.175,0.575,"rising"
"Johnny Lieu","Lifestyle",0.0912,0.387466666666667,"56cd3026b589e4410c00000a",374,7,92,0,5,1,0,"2016-02-24T04:22:22+00:00",732,0,0,0,"new"
"Chris Grasinger","World",0.35,0.55,"56c4af44b589e43e6c00076f",43,12,86,0,8,0,1,"2016-02-17T17:34:54+00:00",340,7,0,0,"new"
"Diana Shi","Watercooler",0.201700680272109,0.512244897959184,"56cc94a997b2f83f3b000080",217,13,97,0,10,1,1,"2016-02-23T17:19:30+00:00",473,1,0,0.119047619047619,"new"
"David Yi","Lifestyle",0.0821813918404827,0.554392217630854,"56cc59dd97b2f80a8c000889",1030,12,10,9,7,3,1,"2016-02-23T13:08:37+00:00",1399,1,0,0,"hot"
"Proma Khosla","Entertainment",0.0972050865800866,0.420941558441558,"56c34808b05f9d438f0004b6",504,12,95,4,8,2,0,"2016-02-16T16:02:06+00:00",940,8,-0.5,0.3,"hot"
"Neha Prakash","Watercooler",0.101333333333333,0.628333333333333,"56c5f54097b2f85437000a52",95,11,91,0,7,0,2,"2016-02-18T16:45:43+00:00",1100,6,0.4,1,"hot"
"Laura Vitto","Watercooler",0.0682738095238095,0.489761904761905,"56c3765c12d2cd21df00058e",121,10,96,0,6,8,0,"2016-02-16T19:19:33+00:00",219,8,0.03125,0.75,"new"
"Blathnaid Healy","World",0.0996212121212121,0.337878787878788,"56cc9ef997b2f83f3b0000aa",234,10,103,0,4,0,0,"2016-02-23T18:03:23+00:00",885,1,0.0625,0.5,"new"
"Laura Vitto","Entertainment",0.04,0.476666666666667,"56c731b097b2f8235a000004",85,10,95,0,4,9,1,"2016-02-19T15:15:02+00:00",506,5,-0.6,1,"new"
"Pete Pachal","Tech",0.1004662004662,0.258974358974359,"56c3416897b2f80809000528",205,10,93,1,5,2,0,"2016-02-16T15:33:35+00:00",587,8,0,0,"rising"
"Patrick Kulp","Business",0.178623758347596,0.437473153461526,"56bb4293b05f9d266e000213",876,7,90,0,4,3,0,"2016-02-10T14:00:29+00:00",1800,14,-0.181818181818182,0.477272727272727,"hot"
"Megan Specia","World",0.111814574314574,0.484487734487735,"56c74b7812d2cd428100001f",419,11,93,0,4,2,1,"2016-02-19T17:05:48+00:00",4000,5,-0.25,0.55,"hot"
"Johnny Simon","World",0.075,0.25,"56cba844b589e45a88000320",91,9,88,19,7,0,0,"2016-02-23T00:30:59+00:00",1000,1,0,0,"hot"
"Jim Roberts","Entertainment",-0.00562499999999999,0.423333333333333,"56c0a092b589e44268000d9d",623,11,108,1,5,0,1,"2016-02-14T15:42:58+00:00",1300,10,-0.1,0,"hot"
"Raymond Wong","Tech",0.124324732285259,0.508753702437913,"56cc793cb589e47876000026",307,14,97,0,9,4,1,"2016-02-23T15:22:08+00:00",1300,1,0,0,"hot"
"Brian Koerber","Watercooler",0.144643806485912,0.465045188729399,"56cd1f08b05f9d1687000008",277,12,93,3,5,1,0,"2016-02-24T03:09:47+00:00",4800,0,0,0,"hot"
"Brian Koerber","Watercooler",-0.0878787878787879,0.493939393939394,"56bcb4b0b05f9d1982000764",205,12,95,1,5,1,0,"2016-02-11T16:19:42+00:00",1700,13,-0.25,0.333333333333333,"rising"
"Gillian Edevane","Lifestyle",-0.0113510101010101,0.433131313131313,"56cb912db589e45a880002ba",223,13,102,0,10,10,1,"2016-02-22T22:52:13+00:00",848,1,-0.0125,1,"new"
"Victoria Ho","Lifestyle",0.137673933209647,0.363292362399505,"56c2e4c797b2f8080900025d",399,11,98,0,8,2,0,"2016-02-16T08:58:36+00:00",1100,8,0,0.1,"rising"
"Saba Hamedy","Entertainment",0.19984579690462,0.467896047307812,"56bd1c4bb05f9d460f0001e7",978,11,111,3,10,2,1,"2016-02-11T23:41:51+00:00",1100,12,0,0,"rising"
"Lance Ulanoff","Tech",0.0615974025974026,0.428748484848485,"56cb26e412d2cd170500011d",712,14,98,0,6,8,1,"2016-02-22T15:18:56+00:00",2600,2,0,0,"hot"
"Ariel Bogle","Tech",0.0438869902027797,0.336154216154216,"56bac805b589e41218000227",668,12,94,3,6,4,0,"2016-02-10T05:17:38+00:00",1800,14,0,0,"hot"
"Brian Koerber","Watercooler",0.065,0.85,"56cb9d0497b2f80a8c0003f1",165,7,89,0,4,1,0,"2016-02-22T23:40:57+00:00",1000,1,0,0,"hot"
"Colin  Daileda","World",0.00187165775401069,0.35409982174688,"56bbb03712d2cd5b6f00012b",233,9,91,0,6,1,0,"2016-02-10T21:47:47+00:00",8200,13,0,0,"rising"
"The Associated Press","World",-0.021875,0.167708333333333,"56c44106b589e43e6c000496",130,11,86,0,5,0,0,"2016-02-17T09:44:26+00:00",818,7,-0.2,0,"hot"
