TL,Time,Lo,popu,Rg1,Re,Rb1,Rc,Rb2,Rd,Total,PD,PT,PD/PT,Year,Dwg,Fwg,FD
TIIA,2,A,1,0.786,2.065,2.769,0.346,0.066,0.215,6.246,3.396,2.85,1.192,9,1.76,4.25,2.49
TIIA,2,A,1,0.473,1.33,1.874,0.198,0.051,0.164,4.09,2.287,1.803,1.268,6,1.54,3.65,2.11
TIIA,2,A,1,1.146,1.085,1.699,0.373,0.076,0.19,4.569,2.338,2.231,1.048,5,0.52,1.31,0.79
TIIA,2,A,1,0.29,0.788,0.863,0.246,0.061,0.149,2.397,1.32,1.078,1.224,5,0.65,1.63,0.98
TIIA,2,A,1,0.288,1.119,1.268,0.267,0.06,0.148,3.15,1.743,1.407,1.239,7,0.73,1.9,1.17
TIIA,2,A,1,0.191,0.972,1.323,0.216,0.057,0.12,2.879,1.716,1.163,1.476,5,0.99,2.41,1.42
TIIA,2,A,1,0.508,1.3,1.705,0.23,0.057,0.108,3.908,2.1,1.808,1.162,5,0.56,1.63,1.07
TIIA,2,A,1,0.455,0.885,1.522,0.296,0.071,0.197,3.426,2.086,1.34,1.557,5,1.13,3.83,2.7
TIIA,2,A,1,3.076,0.013,1.207,0.344,0.072,0.19,4.903,1.813,3.089,0.587,7,1,2.2,1.2
TIIA,2,A,1,0.509,2.02,1.587,0.175,0.056,0.115,4.461,1.933,2.528,0.765,8,1.3,3.97,2.67
TIIA,2,A,1,0.281,1.366,1.356,0.249,0.061,0.14,3.453,1.806,1.647,1.096,7,0.69,1.83,1.14
TIIA,2,A,1,0.424,0.91,1.065,0.357,0.069,0.155,2.981,1.646,1.335,1.233,7,0.37,1,0.63
TIIA,2,A,1,2.129,0.015,1.694,0.385,0.077,0.204,4.504,2.36,2.144,1.101,7,0.68,1.71,1.03
TIIA,2,A,2,2.272,0.014,1.608,0.335,0.067,0.091,4.387,2.101,2.286,0.919,16,0.75,2.33,1.58
TIIA,2,A,2,0.436,1.26,1.056,0.26,0.06,0.166,3.239,1.543,1.696,0.91,5,1.5,3.31,1.81
TIIA,2,A,2,0.349,0.985,1.038,0.239,0.056,0.084,2.749,1.416,1.333,1.062,20,1.53,3.92,2.39
TIIA,2,A,2,1.918,0.014,1.274,0.262,0.068,0.168,3.703,1.771,1.932,0.917,11,1.43,3.87,2.44
TIIA,2,A,2,1.891,0.014,1.213,0.267,0.066,0.093,3.544,1.639,1.905,0.86,11,0.38,1.05,0.67
TIIA,2,A,2,2.761,0.013,1.892,0.277,0.062,0.074,5.079,2.305,2.774,0.831,13,1.24,3.51,2.27
TIIA,2,A,2,2.239,0.013,1.949,0.182,0.051,0.105,4.541,2.288,2.253,1.016,4,3.45,8.68,5.23
TIIA,2,A,2,2.818,0.015,1.54,0.396,0.078,0.115,4.961,2.129,2.832,0.752,6,0.65,2.09,1.44
TIIA,2,A,2,1.099,0.624,1.489,0.169,0.051,0.199,3.63,1.908,1.723,1.107,7,1.82,4.3,2.48
TIIA,2,A,2,0.157,0.54,0.816,0.157,0.045,0.152,1.867,1.17,0.697,1.678,4,0.91,2.08,1.17
TIIA,2,A,3,0.35,1.321,2.936,0.361,0.077,0.469,5.514,3.843,1.671,2.3,3,1.49,4.01,2.52
TIIA,2,A,3,0.346,1.308,2.906,0.358,0.076,0.464,5.459,3.804,1.654,2.3,4,0.7,1.73,1.03
TIIA,2,A,3,0.302,1.053,1.794,0.203,0.056,0.695,4.102,2.747,1.354,2.028,2,0.55,1.31,0.76
TIIA,2,A,3,1.037,0.015,0.639,0.091,0.041,0.1,1.924,0.872,1.052,0.828,2,1.47,3.45,1.98
TIIA,2,A,3,0.383,0.842,0.561,0.1,0.046,0.091,2.023,0.798,1.225,0.652,6,1.2,2.89,1.69
TIIA,2,A,3,0.312,1.001,1.605,0.219,0.059,0.134,3.329,2.017,1.312,1.537,6,1.4,3.37,1.97
TIIA,2,A,3,0.296,0.827,1.048,0.25,0.058,0.328,2.807,1.684,1.122,1.501,6,0.92,2.44,1.52
TIIA,2,A,3,0.476,0.999,1.133,0.362,0.072,0.419,3.461,1.986,1.475,1.347,3,0.31,0.74,0.43
TIIA,2,A,3,0.641,1.094,1.951,0.281,0.064,0.199,4.229,2.494,1.735,1.437,3,0.47,1.41,0.94
TIIA,2,A,4,2.498,0.014,1.339,0.257,0.059,0.123,4.291,1.779,2.512,0.708,6,1.53,3.79,2.26
TIIA,2,A,4,2.381,0.015,1.641,0.325,0.07,0.106,4.538,2.142,2.395,0.894,10,0.89,2.36,1.47
TIIA,2,A,4,1.757,0.015,0.885,0.31,0.07,0.143,3.18,1.408,1.772,0.795,10,0.83,2.05,1.22
TIIA,2,A,4,1.284,1.289,1.108,0.299,0.072,0.228,4.281,1.707,2.574,0.663,5,0.52,1.34,0.82
TIIA,2,A,4,3.44,0.015,1.974,0.538,0.095,0.246,6.309,2.853,3.456,0.826,7,1.26,3.6,2.34
TIIA,2,A,4,1.405,0.014,0.558,0.119,0.051,0.086,2.233,0.814,1.419,0.574,5,1.63,3.66,2.03
TIIA,2,A,4,2.34,0.013,1.083,0.259,0.059,0.139,3.894,1.541,2.354,0.655,7,0.97,2.39,1.42
TIIA,2,A,4,2.199,0.014,1.506,0.312,0.066,0.189,4.285,2.073,2.212,0.937,18,1.61,3.94,2.33
TIIA,2,A,4,2.328,0.014,1.011,0.338,0.071,0.102,3.864,1.522,2.342,0.65,10,1.14,2.92,1.78
TIIA,2,A,4,0.492,1.36,1.549,0.29,0.066,0.133,3.889,2.037,1.852,1.1,7,0.8,2.01,1.21
TIIA,2,A,5,4.858,0.014,2.022,0.199,0.054,0.107,7.255,2.382,4.872,0.489,11,1.91,4.87,2.96
TIIA,2,A,5,4.515,0.014,2.237,0.494,0.091,0.204,7.555,3.026,4.53,0.668,8,0.73,2.91,2.18
TIIA,2,A,5,3.437,0.013,1.523,0.275,0.068,0.198,5.513,2.063,3.45,0.598,6,1.67,4.24,2.57
TIIA,2,A,5,3.315,0.013,1.488,0.333,0.069,0.12,5.338,2.01,3.328,0.604,8,1.62,4.41,2.79
TIIA,2,A,5,3.707,0.014,1.881,0.354,0.074,0.24,6.271,2.55,3.721,0.685,6,0.72,2.09,1.37
TIIA,2,A,5,1.708,0.013,0.61,0.224,0.058,0.091,2.704,0.983,1.721,0.571,7,0.55,1.29,0.74
TIIA,2,A,6,2.137,0.014,1.077,0.323,0.067,0.071,3.689,1.539,2.15,0.716,15,1.38,3.72,2.34
TIIA,2,A,6,0.373,0.916,0.835,0.267,0.064,0.181,2.636,1.347,1.289,1.045,7,1.98,4.82,2.84
TIIA,2,A,6,0.423,1.032,0.825,0.207,0.054,0.124,2.664,1.209,1.454,0.832,10,2.35,5.44,3.09
TIIA,2,A,7,0.654,0.855,0.886,0.227,0.057,0.114,2.792,1.284,1.508,0.851,7,1.7,6.03,4.33
TIIA,2,A,7,1.807,0.014,0.905,0.406,0.073,0.068,3.273,1.452,1.822,0.797,10,0.99,2.99,2
TIIA,2,A,7,0.299,0.876,0.87,0.205,0.05,0.124,2.425,1.25,1.175,1.064,15,2.04,5.28,3.24
TIIA,2,A,7,1.759,0.014,1.352,0.261,0.064,0.156,3.605,1.832,1.773,1.034,8,2.47,6.45,3.98
TIIA,2,A,7,0.49,0.933,1.606,0.306,0.067,0.182,3.583,2.161,1.422,1.52,11,3.79,9.15,5.36
TIIA,2,A,7,1.178,0.191,0.746,0.212,0.055,0.071,2.453,1.084,1.369,0.792,10,1.7,4.92,3.22
TIIA,2,A,7,2.329,0.014,2.614,0.475,0.081,0.128,5.641,3.298,2.343,1.407,9,3.36,8.49,5.13
TIIA,2,A,7,1.762,0.015,1.224,0.302,0.068,0.162,3.533,1.756,1.777,0.988,9,3.29,9,5.71
TIIA,2,A,7,0.28,0.968,1.184,0.248,0.06,0.224,2.963,1.716,1.247,1.376,9,2.03,2.54,0.51
TIIA,2,A,7,0.198,1.957,1.834,0.378,0.069,0.092,4.528,2.374,2.154,1.102,10,2.64,7.51,4.87
TIIA,2,A,8,0.622,0.84,1.344,0.172,0.05,0.166,3.195,1.732,1.462,1.185,5,1.41,3.56,2.15
TIIA,2,A,8,0.306,0.728,0.976,0.211,0.05,0.139,2.41,1.376,1.034,1.331,5,1.89,4.32,2.43
TIIA,2,A,8,0.349,0.637,0.692,0.211,0.056,0.114,2.06,1.074,0.986,1.089,5,1.46,3.76,2.3
TIIA,2,A,8,0.454,0.926,1.344,0.16,0.055,0.148,3.087,1.707,1.38,1.236,5,2.53,6.28,3.75
TIIA,2,A,8,0.513,1.754,3.243,0.478,0.089,0.338,6.416,4.148,2.268,1.829,5,0.58,1.94,1.36
TIIA,2,A,8,2.273,0.013,1.028,0.329,0.078,0.229,3.95,1.664,2.286,0.728,5,0.51,1.32,0.81
TIIA,2,A,8,0.474,0.901,1.44,0.073,0.039,0.338,3.264,1.889,1.375,1.374,6,0.43,1.42,0.99
TIIA,2,A,8,2.213,0.015,2.126,0.28,0.075,0.302,5.01,2.782,2.228,1.249,10,1.51,3.83,2.32
TIIA,2,A,8,0.242,0.685,0.997,0.191,0.065,0.185,2.364,1.438,0.927,1.551,8,0.86,2.59,1.73
TIIA,2,A,8,0.425,1.23,2.243,0.254,0.066,0.243,4.46,2.806,1.655,1.695,2,0.77,2.09,1.32
TIIB,2,B,1,0.536,0.905,0.814,0.144,0.07,0.116,2.586,1.145,1.441,0.794,6,1.31,4.47,3.16
TIIB,2,B,1,0.186,0.872,0.74,0.16,0.057,0.086,2.101,1.044,1.057,0.987,6,1.68,4.69,3.01
TIIB,2,B,1,0.225,0.714,0.712,0.117,0.049,0.1,1.917,0.978,0.939,1.042,3,1.91,6.01,4.1
TIIB,2,B,1,0.206,0.9,0.59,0.148,0.051,0.082,1.977,0.871,1.106,0.788,4,1.17,3.48,2.31
TIIB,2,B,1,0.308,0.805,0.703,0.21,0.06,0.122,2.209,1.095,1.114,0.983,6,1.63,4.29,2.66
TIIB,2,B,1,0.304,0.699,0.341,0.089,0.042,0.061,1.536,0.533,1.003,0.532,7,0.73,2.42,1.69
TIIB,2,B,1,0.334,1.067,0.853,0.137,0.046,0.117,2.553,1.153,1.401,0.823,7,3.18,8.55,5.37
TIIB,2,B,1,0.169,0.748,0.536,0.108,0.044,0.083,1.688,0.771,0.916,0.842,6,1.74,4.87,3.13
TIIB,2,B,1,0.334,1.03,1.364,0.332,0.072,0.121,3.252,1.889,1.364,1.385,4,2.57,7.25,4.68
TIIB,2,B,1,0.733,1.774,1.824,0.298,0.069,0.176,4.873,2.367,2.507,0.944,5,2.37,7.1,4.73
TIIB,2,B,2,1.833,0.014,0.899,0.312,0.076,0.184,3.319,1.472,1.847,0.797,5,1.81,5.37,3.56
TIIB,2,B,2,1.124,0.014,0.473,0.183,0.06,0.083,1.938,0.8,1.139,0.702,3,1.29,3.75,2.46
TIIB,2,B,2,0.309,1.13,0.829,0.265,0.066,0.081,2.68,1.241,1.439,0.863,8,1.7,5.7,4
TIIB,2,B,2,1.463,0.015,1.076,0.229,0.059,0.07,2.911,1.434,1.478,0.97,6,1.65,5.71,4.06
TIIB,2,B,2,1.059,0.014,0.47,0.229,0.064,0.097,1.933,0.86,1.073,0.802,6,1.3,3.88,2.58
TIIB,2,B,2,0.849,0.013,0.254,0.143,0.045,0.063,1.367,0.505,0.862,0.586,13,2.94,7.35,4.41
TIIB,2,B,2,1.514,0.013,0.727,0.315,0.068,0.068,2.705,1.178,1.527,0.772,9,2.15,6.56,4.41
TIIB,2,B,2,0.341,0.964,1.026,0.244,0.059,0.08,2.715,1.409,1.306,1.079,6,1.93,5.76,3.83
TIIB,2,B,2,0.602,1.198,1.162,0.209,0.053,0.108,3.333,1.533,1.8,0.852,6,0.94,2.73,1.79
TIIB,2,B,2,1.401,0.013,0.504,0.141,0.046,0.054,2.16,0.745,1.414,0.527,8,1.02,3.26,2.24
TIIB,2,B,3,0.441,1.364,0.943,0.139,0.048,0.111,3.045,1.24,1.805,0.687,4,4.68,13.5,8.82
TIIB,2,B,3,0.299,0.924,1.088,0.394,0.077,0.245,3.028,1.805,1.223,1.475,3,2.3,7.8,5.5
TIIB,2,B,3,0.16,0.378,0.279,0.194,0.052,0.072,1.135,0.597,0.538,1.11,2,1.24,4.19,2.95
TIIB,2,B,3,0.404,1.266,0.813,0.168,0.05,0.111,2.813,1.142,1.67,0.684,4,2.34,6.97,4.63
TIIB,2,B,3,0.222,1.098,0.78,0.184,0.052,0.115,2.451,1.131,1.32,0.857,2,2.06,6.38,4.32
TIIB,2,B,3,0.124,0.768,0.991,0.331,0.072,0.158,2.444,1.552,0.893,1.738,3,2.84,8.99,6.15
TIIB,2,B,3,0.949,0.015,0.44,0.216,0.057,0.116,1.793,0.829,0.963,0.861,3,1.79,5.67,3.88
TIIB,2,B,3,0.334,0.967,0.521,0.182,0.051,0.116,2.17,0.869,1.301,0.668,4,1.8,5.27,3.47
TIIB,2,B,3,0.299,0.996,1.012,0.318,0.07,0.196,2.892,1.597,1.295,1.232,4,1.91,5.59,3.68
TIIB,2,B,3,0.207,0.541,0.403,0.225,0.057,0.102,1.535,0.788,0.747,1.055,3,1.69,5.27,3.58
TIIB,2,B,4,0.314,0.696,0.414,0.156,0.052,0.08,1.713,0.702,1.011,0.695,5,0.53,1.56,1.03
TIIB,2,B,4,0.421,0.822,0.555,0.176,0.051,0.085,2.109,0.866,1.243,0.697,5,0.54,1.64,1.1
TIIB,2,B,4,0.217,0.778,0.468,0.144,0.048,0.069,1.724,0.73,0.994,0.734,4,2.8,7.58,4.78
TIIB,2,B,4,0.243,0.558,0.327,0.098,0.042,0.074,1.342,0.54,0.801,0.674,5,0.88,2.51,1.63
TIIB,2,B,4,1.108,0.013,0.483,0.137,0.046,0.072,1.859,0.738,1.121,0.658,6,2.12,5.76,3.64
TIIB,2,B,4,0.547,1.014,0.805,0.119,0.045,0.064,2.595,1.033,1.561,0.662,14,2.09,5.98,3.89
TIIB,2,B,4,1.609,0.013,0.894,0.166,0.049,0.088,2.819,1.197,1.622,0.738,7,3.37,9.66,6.29
TIIB,2,B,4,1.409,0.013,0.815,0.202,0.055,0.114,2.608,1.185,1.422,0.833,7,2.53,7.19,4.66
TIIB,2,B,4,1.537,0.014,0.882,0.168,0.052,0.097,2.749,1.199,1.551,0.773,9,2.51,6.9,4.39
TIIB,2,B,4,2.163,0.015,1.969,0.259,0.063,0.136,4.605,2.427,2.178,1.114,5,1.69,4.84,3.15
TIIB,2,B,5,2.435,0.014,0.819,0.199,0.058,0.104,3.63,1.18,2.449,0.482,4,2.5,7.64,5.14
TIIB,2,B,5,1.625,0.013,0.555,0.155,0.049,0.083,2.481,0.842,1.638,0.514,5,0.79,2.42,1.63
TIIB,2,B,5,0.799,0.013,0.262,0.085,0.039,0.055,1.252,0.44,0.812,0.542,8,1.31,3.52,2.21
TIIB,2,B,5,1.261,0.014,0.371,0.114,0.044,0.06,1.864,0.589,1.275,0.462,7,1.52,4.7,3.18
TIIB,2,B,5,1.821,0.013,0.513,0.19,0.054,0.108,2.699,0.865,1.834,0.472,5,1.72,4.8,3.08
TIIB,2,B,5,0.267,1.015,1.435,0.233,0.058,0.081,3.088,1.806,1.282,1.409,9,3.91,11.94,8.03
TIIB,2,B,5,2.256,0.014,1.085,0.253,0.064,0.078,3.75,1.48,2.27,0.652,5,3,9.44,6.44
TIIB,2,B,5,2.272,0.013,0.745,0.297,0.069,0.077,3.473,1.188,2.285,0.52,7,1.09,3.43,2.34
TIIB,2,B,5,3.841,0.014,1.823,0.421,0.089,0.1,6.287,2.433,3.854,0.631,5,1.08,3.91,2.83
TIIB,2,B,5,4.014,0.013,1.56,0.39,0.085,0.113,6.175,2.148,4.028,0.533,8,1.54,5.55,4.01
TIIB,2,B,6,0.348,0.94,0.538,0.241,0.057,0.087,2.211,0.923,1.288,0.716,5,1.68,5.31,3.63
TIIB,2,B,6,0.21,0.761,0.476,0.236,0.062,0.097,1.841,0.871,0.97,0.897,6,0.96,2.85,1.89
TIIB,2,B,6,0.258,0.681,0.352,0.165,0.051,0.08,1.588,0.649,0.939,0.691,5,1.41,4.12,2.71
TIIB,2,B,6,0.248,0.612,0.313,0.142,0.046,0.074,1.435,0.575,0.86,0.669,7,1.42,3.87,2.45
TIIB,2,B,6,0.354,1.179,0.927,0.166,0.057,0.076,2.759,1.226,1.533,0.8,6,1.66,4.74,3.08
TIIB,2,B,6,0.397,0.477,0.369,0.203,0.056,0.069,1.571,0.697,0.873,0.798,9,1.23,3.9,2.67
TIIB,2,B,6,0.372,1.28,0.937,0.359,0.077,0.086,3.109,1.458,1.652,0.882,9,1.15,4.35,3.2
TIIB,2,B,6,0.343,0.891,0.535,0.193,0.054,0.066,2.082,0.848,1.234,0.687,12,1.98,6.17,4.19
TIIB,2,B,6,0.527,1.548,0.988,0.346,0.079,0.073,3.562,1.486,2.075,0.716,14,1.14,4.64,3.5
TIIB,2,B,6,0.344,1.439,1.16,0.281,0.069,0.08,3.374,1.59,1.783,0.892,10,1.8,6.07,4.27
TIIB,2,B,7,0.416,0.937,1.089,0.294,0.072,0.108,2.916,1.563,1.353,1.155,7,2.28,6.23,3.95
TIIB,2,B,7,0.207,0.865,0.869,0.159,0.039,0.042,2.182,1.109,1.072,1.034,7,4.46,14.56,10.1
TIIB,2,B,7,0.164,0.501,0.536,0.17,0.049,0.092,1.513,0.848,0.665,1.275,8,2.66,7.79,5.13
TIIB,2,B,7,0.297,0.813,0.944,0.194,0.051,0.122,2.422,1.312,1.11,1.182,8,1.9,5.39,3.49
TIIB,2,B,7,0.427,0.873,1.113,0.275,0.061,0.105,2.855,1.555,1.301,1.195,9,2.95,10.37,7.42
TIIB,2,B,7,0.158,0.7,0.857,0.119,0.044,0.038,1.916,1.059,0.858,1.234,10,2.86,8.83,5.97
TIIB,2,B,7,0.219,0.81,1.163,0.286,0.066,0.085,2.628,1.599,1.029,1.554,11,4.98,14.37,9.39
TIIB,2,B,7,0.391,1.257,2.197,0.296,0.062,0.128,4.331,2.682,1.648,1.627,11,2.9,9.74,6.84
TIIB,2,B,7,0.183,0.843,1.102,0.281,0.066,0.094,2.57,1.544,1.026,1.505,10,3.41,9.78,6.37
TIIB,2,B,7,0.142,0.622,0.874,0.224,0.054,0.055,1.971,1.207,0.764,1.581,12,4.21,11.94,7.73
TIIB,2,B,8,0.111,0.325,0.22,0.139,0.045,0.048,0.889,0.452,0.436,1.037,9,2.28,6.61,4.33
TIIB,2,B,8,0.17,0.567,0.517,0.067,0.04,0.074,1.434,0.697,0.737,0.945,7,3.92,10.78,6.86
TIIB,2,B,8,0.127,0.56,0.426,0.133,0.045,0.069,1.361,0.674,0.687,0.981,4,3.01,8.32,5.31
TIIB,2,B,8,0.742,0.427,0.73,0.195,0.058,0.083,2.236,1.066,1.17,0.911,6,2.15,6.3,4.15
TIIB,2,B,8,0.162,1.015,1.803,0.204,0.044,0.073,3.299,2.123,1.176,1.805,9,2.24,6.43,4.19
TIIB,2,B,8,2.783,0.014,1.412,0.236,0.057,0.103,4.604,1.807,2.797,0.646,6,2.02,5.84,3.82
TIIB,2,B,8,0.201,2.202,3.355,0.353,0.063,0.174,6.35,3.946,2.403,1.642,5,2.76,9.04,6.28
TIIB,2,B,8,0.234,1.042,1.482,0.225,0.053,0.166,3.203,1.926,1.277,1.509,4,2.67,7.45,4.78
TIIB,2,B,8,0.196,0.97,0.6,0.142,0.045,0.065,2.017,0.851,1.166,0.73,6,1.18,5.16,3.98
TIIB,2,B,8,0.162,0.763,0.841,0.159,0.046,0.09,2.061,1.136,0.925,1.228,8,2.93,7.93,5
