"","MONTH","CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST","DEST_STATE_NM","X","count"
"278",1,"AA",10693,"BNA","Tennessee","LAX","California",NA,1400
"279",1,"AA",12892,"LAX","California","BNA","Tennessee",NA,1418
"280",1,"AA",11638,"FAT","California","DFW","Texas",NA,730
"281",1,"AA",12892,"LAX","California","PDX","Oregon",NA,3503
"282",1,"AA",14057,"PDX","Oregon","LAX","California",NA,3517
"283",1,"AA",11066,"CMH","Ohio","LAX","California",NA,48
"284",1,"AA",12892,"LAX","California","CMH","Ohio",NA,49
"285",1,"AA",13303,"MIA","Florida","RDU","North Carolina",NA,1098
"286",1,"AA",14492,"RDU","North Carolina","MIA","Florida",NA,1098
"287",1,"AA",15304,"TPA","Florida","ORD","Illinois",NA,2288
"288",1,"AA",12478,"JFK","New York","STT","U.S. Virgin Islands",NA,366
"289",1,"AA",15024,"STT","U.S. Virgin Islands","JFK","New York",NA,366
"290",1,"AA",11298,"DFW","Texas","DSM","Iowa",NA,2134
"291",1,"AA",11298,"DFW","Texas","RIC","Virginia",NA,1041
"292",1,"AA",11298,"DFW","Texas","OMA","Nebraska",NA,1747
"293",1,"AA",13871,"OMA","Nebraska","DFW","Texas",NA,1748
"294",1,"AA",14107,"PHX","Arizona","EWR","New Jersey",NA,2579
"295",1,"AA",11618,"EWR","New Jersey","PHX","Arizona",NA,2601
"296",1,"AA",10693,"BNA","Tennessee","MIA","Florida",NA,731
"297",1,"AA",13487,"MSP","Minnesota","MIA","Florida",NA,908
"298",1,"AA",13303,"MIA","Florida","STX","U.S. Virgin Islands",NA,349
"299",1,"AA",15027,"STX","U.S. Virgin Islands","MIA","Florida",NA,349
"300",1,"AA",13303,"MIA","Florida","MSP","Minnesota",NA,907
"301",1,"AA",14635,"RSW","Florida","ORD","Illinois",NA,763
"302",1,"AA",12953,"LGA","New York","PBI","Florida",NA,1934
"303",1,"AA",14027,"PBI","Florida","LGA","New York",NA,1934
"304",1,"AA",11057,"CLT","North Carolina","ORD","Illinois",NA,5639
"305",1,"AA",15016,"STL","Missouri","MIA","Florida",NA,731
"306",1,"AA",12339,"IND","Indiana","LAX","California",NA,548
"307",1,"AA",12892,"LAX","California","IND","Indiana",NA,548
"308",1,"AA",15370,"TUL","Oklahoma","ORD","Illinois",NA,2038
"309",1,"AA",13930,"ORD","Illinois","STL","Missouri",NA,4558
"310",1,"AA",12992,"LIT","Arkansas","DFW","Texas",NA,3245
"311",1,"AA",13303,"MIA","Florida","BDL","Connecticut",NA,366
"312",1,"AA",13930,"ORD","Illinois","TUL","Oklahoma",NA,2040
"313",1,"AA",13930,"ORD","Illinois","TPA","Florida",NA,2443
"314",1,"AA",11057,"CLT","North Carolina","JFK","New York",NA,1866
"315",1,"AA",11298,"DFW","Texas","EGE","Colorado",NA,457
"316",1,"AA",11503,"EGE","Colorado","DFW","Texas",NA,457
"317",1,"AA",14524,"RIC","Virginia","DFW","Texas",NA,1041
"318",1,"AA",11503,"EGE","Colorado","ORD","Illinois",NA,197
"319",1,"AA",13930,"ORD","Illinois","EGE","Colorado",NA,197
"320",1,"AA",13303,"MIA","Florida","EWR","New Jersey",NA,2873
"321",1,"AA",14057,"PDX","Oregon","DFW","Texas",NA,1577
"322",1,"AA",11298,"DFW","Texas","FAT","California",NA,730
"323",1,"AA",15304,"TPA","Florida","DFW","Texas",NA,2804
"324",1,"AA",14908,"SNA","California","PHX","Arizona",NA,5477
"325",1,"AA",13303,"MIA","Florida","SEA","Washington",NA,366
"326",1,"AA",12478,"JFK","New York","CLT","North Carolina",NA,1833
"327",1,"AA",14107,"PHX","Arizona","SNA","California",NA,5497
"328",1,"AA",13303,"MIA","Florida","STL","Missouri",NA,732
"329",1,"AA",11298,"DFW","Texas","LIT","Arkansas",NA,3245
"330",1,"AA",13930,"ORD","Illinois","DFW","Texas",NA,8093
"331",1,"AA",11503,"EGE","Colorado","JFK","New York",NA,13
"332",1,"AA",11433,"DTW","Michigan","PHX","Arizona",NA,2928
"333",1,"AA",12478,"JFK","New York","EGE","Colorado",NA,14
"334",1,"AA",11298,"DFW","Texas","ICT","Kansas",NA,1792
"335",1,"AA",11298,"DFW","Texas","MTJ","Colorado",NA,231
"336",1,"AA",13502,"MTJ","Colorado","DFW","Texas",NA,232
"337",1,"AA",11298,"DFW","Texas","LAX","California",NA,6571
"338",1,"AA",13303,"MIA","Florida","BNA","Tennessee",NA,731
"339",1,"AA",12892,"LAX","California","DFW","Texas",NA,6571
"340",1,"AS",11278,"DCA","Virginia","SEA","Washington",NA,727
"341",1,"AS",14747,"SEA","Washington","DCA","Virginia",NA,727
"342",1,"AS",11278,"DCA","Virginia","LAX","California",NA,366
"343",1,"AS",12892,"LAX","California","DCA","Virginia",NA,366
"344",1,"AS",14747,"SEA","Washington","EWR","New Jersey",NA,2026
"345",1,"AS",11618,"EWR","New Jersey","SEA","Washington",NA,2030
"346",1,"AS",14747,"SEA","Washington","BOS","Massachusetts",NA,980
"347",1,"AS",10721,"BOS","Massachusetts","SEA","Washington",NA,979
"348",1,"AS",14747,"SEA","Washington","MCO","Florida",NA,731
"349",1,"AS",13204,"MCO","Florida","SEA","Washington",NA,731
"350",1,"AS",14747,"SEA","Washington","MSP","Minnesota",NA,2474
"351",1,"AS",13930,"ORD","Illinois","SEA","Washington",NA,4802
"352",1,"AS",14747,"SEA","Washington","ORD","Illinois",NA,4608
"353",1,"AS",14100,"PHL","Pennsylvania","SEA","Washington",NA,708
"354",1,"AS",14057,"PDX","Oregon","BOS","Massachusetts",NA,366
"355",1,"AS",14747,"SEA","Washington","PHL","Pennsylvania",NA,707
"356",1,"AS",10721,"BOS","Massachusetts","PDX","Oregon",NA,366
"357",1,"AS",13487,"MSP","Minnesota","SEA","Washington",NA,2475
"358",1,"AS",10299,"ANC","Alaska","BET","Alaska",NA,1035
"359",1,"AS",10551,"BET","Alaska","ANC","Alaska",NA,1035
"360",1,"AS",10754,"BRW","Alaska","ANC","Alaska",NA,364
"361",1,"AS",14709,"SCC","Alaska","BRW","Alaska",NA,364
"362",1,"AS",10299,"ANC","Alaska","SCC","Alaska",NA,363
"363",1,"AS",11630,"FAI","Alaska","ANC","Alaska",NA,2853
"364",1,"AS",10754,"BRW","Alaska","FAI","Alaska",NA,364
"365",1,"AS",12819,"KTN","Alaska","SEA","Washington",NA,1289
"366",1,"AS",12523,"JNU","Alaska","KTN","Alaska",NA,364
"367",1,"AS",14747,"SEA","Washington","JNU","Alaska",NA,1334
"368",1,"AS",12523,"JNU","Alaska","SIT","Alaska",NA,863
"369",1,"AS",10299,"ANC","Alaska","JNU","Alaska",NA,1163
"370",1,"AS",14828,"SIT","Alaska","KTN","Alaska",NA,365
"371",1,"AS",15841,"WRG","Alaska","KTN","Alaska",NA,363
"372",1,"AS",12523,"JNU","Alaska","PSG","Alaska",NA,363
"373",1,"AS",14256,"PSG","Alaska","WRG","Alaska",NA,363
"374",1,"AS",12819,"KTN","Alaska","WRG","Alaska",NA,364
"375",1,"AS",14747,"SEA","Washington","KTN","Alaska",NA,1289
"376",1,"AS",15841,"WRG","Alaska","PSG","Alaska",NA,364
"377",1,"AS",14256,"PSG","Alaska","JNU","Alaska",NA,364
"378",1,"AS",12523,"JNU","Alaska","ANC","Alaska",NA,1163
"379",1,"AS",12523,"JNU","Alaska","SEA","Washington",NA,1209
"380",1,"AS",14828,"SIT","Alaska","JNU","Alaska",NA,740
"381",1,"AS",12819,"KTN","Alaska","SIT","Alaska",NA,365
"382",1,"AS",12819,"KTN","Alaska","JNU","Alaska",NA,362
"383",1,"AS",10299,"ANC","Alaska","SEA","Washington",NA,6257
"384",1,"AS",14747,"SEA","Washington","ANC","Alaska",NA,6256
"385",1,"AS",10299,"ANC","Alaska","PDX","Oregon",NA,576
