Country Name,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Pakistan,PAK,1335900,1085600,625200,805200,1047700,1451800,1947400,2303700,2656300,2773100,3029200,3096800,3328800,3466900,3641900,3839400,4127200,4434400,4889400,5009000,5180200,5197700,5680600,5647100,5663700,5342600,5375000,5882500,5414100,5850000,5293541,6011849,4141009,4522110,5097477,5364134,5714831,5439144,5605758,5303268,6588114,7940545,7973906,5990355,5559596,
Panama,PAN,307400,337200,316200,217500,275700,357100,374100,347400,365700,381300,355200,309200,332200,323400,371600,390300,364200,370800,382000,372500,265800,342700,282700,320500,519900,661200,688800,772200,859900,932500,1117411,1114727,1047843,1416071,1500673,1795958,2028711,2473261,2762458,6348000,5524157,6380080,7517581,11656417,11642158,
Peru,PER,390500,263700,525300,590000,1116900,1335200,1439200,1425000,1449000,1686100,1980100,1777100,1739700,1698200,1616800,1563900,2152900,3009000,2737100,1854300,1816200,1490600,1217600,1362400,1894900,2508300,2327500,2724500,2774500,1900000,1595268,2248991,2085823,2226329,3225128,4332223,4217880,5273188,6184410,5843195,7106025,8609620,10074856,11535111,12284661,
Philippines,PHL,2369000,2070900,2123900,2349600,2525100,2758400,2815700,3021100,3411600,3474900,3245600,3542700,3866900,4319800,4394000,4610400,4879600,5247300,5719500,5715200,5638700,5438100,6136500,6526200,6851500,7179600,7263100,7474600,6731600,5024000,5756288,6416383,6449022,6457529,7387965,8056829,8304634,8818150,9508389,10480898,22575356,26326621,28540727,25540895,30932993,
Poland,POL,904000,1031200,1267000,1491000,1086800,1454500,1472400,1643200,1702300,1850400,1710500,1592800,755500,1287000,1595900,1587000,1573500,1569500,1600200,1907300,1501000,1051200,1102100,1269900,1451800,1657300,1805900,1998000,2212500,2140700,2340919,2670283,2845919,3252222,3493094,3553680,3625982,4269655,4634676,4279072,4099082,4448727,4909100,4636247,5186754,
Portugal,PRT,1415400,1656100,1949800,2247100,2250400,1681300,1650300,1833400,2014400,2264500,1978100,2168500,2272200,2218400,2311800,2315200,2422600,2785600,3025100,3187300,3504500,3571800,4108800,4378900,4359600,4590100,4805500,6281400,7023100,7339300,6721365,6650492,6795580,7590259,9052471,10139655,9440930,10320040,11171020,9903771,10428174,11014639,11338080,11929796,12613140,
Paraguay,PRY,80600,84300,53700,59600,61000,64500,66500,104600,111700,118500,129000,127000,167000,163500,179000,212000,184200,205000,248600,272300,273000,308800,313600,337500,324200,105200,260500,196000,222200,231700,265898,281040,267089,298928,373456,445854,432760,458688,465911,428493,715072,845396,794176,711548,613485,
Romania,ROU,452500,429400,488800,611800,674400,613100,912600,1077100,1084600,1119700,1112100,1079700,919400,998600,1163400,1215800,1240400,1281300,1322500,1271700,1322000,1148900,918900,979400,1242700,1244900,913300,995200,907600,980300,1218102,1137305,959487,1255313,1337781,1707714,2047466,3003872,3253417,3268022,3733253,3659209,3593312,3087143,3063543,
South Asia,SAS,4400200,4070900,4363900,5141900,4983200,6225200,7422400,8481700,9790500,10583900,10964100,12195300,13529900,14473100,15846600,17084600,18061800,19186000,20656900,20406500,18916100,18692200,19784000,18013800,20433000,23175700,22444800,25538500,25389700,25506900,26822530,26775369,25502242,27975359,33660738,38307149,51488173,62460543,60323625,64195666,78888195,91031850,89645445,92050144,99147414,
Saudi Arabia,SAU,558000,513600,762000,968300,1282500,1835700,3268000,4705100,6268100,7689200,9241200,9146900,10151800,10670300,11365800,10795100,9929400,10258400,9879600,9988000,10311500,9409100,11154800,11864300,12142300,11524200,11706300,11738200,11816200,12328500,12566492,12835735,13564300,13821729,14942633,15933045,16830838,17141188,16708204,17508200,20323592,23135735,26537661,28252104,31973412,
Sudan,SDN,124700,139500,133400,221500,244700,250000,328300,378500,176000,424000,519000,465300,477600,473000,485000,428000,347400,417200,533700,363200,454100,363200,480000,407900,432400,496900,490800,333100,498700,390300,414179,414983,409178,420498,473127,510977,563026,598151,617785,606558,580325,947031,777346,541639,501855,
Senegal,SEN,85100,89400,88900,94600,102500,110000,120400,128400,137200,142300,113100,116100,118300,124500,126300,132100,144100,135800,135400,139700,148300,138400,138300,140200,141200,149700,155100,165500,121400,103400,97525,176413,231333,129974,416372,449682,500677,538845,567101,572609,0,391401,543988,220000,131966,
Singapore,SGP,748900,875100,976100,1248900,1508500,1814700,2132100,2497300,2893200,3377500,3826900,4405400,4591500,4531600,4791800,4912300,4990300,5248400,6046900,6659900,7046400,7745500,8477300,9271200,9929400,10779300,11840700,12980700,13331100,15282600,16704341,16373648,17256872,14172367,16995621,17744017,19565884,20671341,21050204,18427473,24859825,26509929,29138458,31678010,32883397,
El Salvador,SLV,138200,146000,140000,147000,155000,160000,170000,210600,225300,257800,264600,241800,254800,265500,360200,395000,467600,444100,448500,617800,524900,577400,682900,1242500,1617100,1698000,1800000,1700600,1694000,1624100,1960363,1692334,1804307,2182463,2391159,2540564,2579145,2536820,2279763,1996982,1816391,2151274,2523296,2791331,3104764,
Sub-Saharan Africa (developing only),SSA,4585300,5004900,5351200,6251800,6801800,7310100,8557400,8737000,9715500,11266300,12991200,14182400,14200600,14319100,14659800,14980900,13882200,14085700,14607200,14520100,14552000,13952200,13259000,13619700,14631200,15039900,15646400,16072200,15852900,16774800,17519022,16753549,16016828,17470433,19705682,23121258,25230306,26657989,27510500,27184327,37752826,42124245,44856226,43277630,44145939,
Sub-Saharan Africa (all income levels),SSF,4585300,5013400,5360200,6261300,6811800,7320600,8580400,8761000,9739500,11291300,13019500,14210700,14279000,14397500,14786200,15179600,14090900,14322400,14862300,14713200,14808400,14208800,13512500,13923000,14942600,15368600,16034300,16477400,16242300,17122000,17912857,17173516,16535011,17883529,20167567,23620094,25775571,27232504,28096606,27748907,38191509,42648276,45408841,44023788,44853931,
Syrian Arab Republic,SYR,139000,145300,235700,184700,284300,370700,448200,410600,494700,433200,465000,515500,466400,486600,464400,475800,458600,390600,341600,456200,613300,661200,551900,485000,472100,563100,598500,694200,685400,668400,750129,760923,926850,907850,1169646,1239825,1252102,1371450,1358473,1342518,1158366,1433767,907928,475935,475935,
Thailand,THA,764200,713100,785600,1021000,1261000,1616500,1633800,1331500,1773800,2088900,2459000,2834600,3154900,3357000,3671300,4065900,4370000,5179600,6235900,7364500,8201400,7708600,8546800,10196900,11404700,12771400,14078300,14235800,15015400,15950500,17392091,17662418,18111892,16622502,20342582,18902629,20102408,21191723,19993134,19618735,28780723,31940492,36392469,43021236,44039176,
Trinidad and Tobago,TTO,361100,362400,319900,324700,335700,595000,683800,591100,428100,659200,877200,1301500,1380700,1344700,1398000,1299500,1342400,1312300,1296100,1310400,1285400,1345300,1354000,1389000,1642100,1727000,897200,807500,804400,1111700,1254425,1387639,1268879,1084186,1132392,1055106,1024304,1085650,1102669,1014016,1842253,2625056,2625056,2865851,2732097,
Tunisia,TUN,244800,308900,375100,485600,629600,782000,809300,855500,963000,1088800,978200,1140900,1209100,1258100,1254900,1281600,1054800,1203300,1210300,1315400,1313000,1201200,1249900,1351000,1390800,1419400,1371200,1779300,1859000,1922600,1907876,1926118,1789327,1719524,1940037,1996699,2054641,2054679,2274580,2278964,2739634,3153389,3580910,4648606,4608369,
Turkey,TUR,1035700,1476000,1774500,2222800,1795100,1777800,2427300,2751700,2221500,2458400,1253700,2071300,2094600,2233600,2575400,2508000,2721900,3260900,3497300,3792300,4337100,3160000,4958600,6076800,6871600,7749000,8463900,9379900,9949300,10097300,12187891,10603908,10686877,10745444,14275835,16943828,19361415,22895275,25505092,31339441,45665249,53500303,63350312,82647519,92624865,
Tanzania,TZA,171400,188000,196900,256800,282900,271700,310300,85700,192200,292300,387600,324800,401700,407100,498500,450900,441100,456100,410300,266800,292100,289700,216400,188500,199200,236400,224000,217800,220200,190000,193069,174559,134470,149540,243087,257223,189844,250849,202704,683541,750421,914932,1030204,1402299,1474326,
United States,USA,163448992,174143104,191325408,202309200,207612400,204900400,223017296,240144992,273025504,313624000,295329088,281086400,290992608,315600096,340191488,372059104,414554496,441832704,454202912,453161504,464574016,452015904,466964992,469926112,514924000,533512096,571072000,590571392,588170880,634364608,665327414,622187846,598410415,588997110,678110608,720547738,725530965,744302310,701779551,679423408,720497000,730796000,736699000,743171000,762560000,
"Venezuela, RB",VEN,1253300,1301600,1511000,1765900,1981500,2355200,2708400,3500600,4042700,4771700,5133300,5147000,5667200,5000200,4570800,4966500,5790900,6454100,8383800,10098800,6846800,6795200,7149400,6813900,5266800,4445000,4487400,4020300,3736600,4690000,4295000,9452434,6369455,3889929,4943887,5043028,5225573,5495292,5766973,5121009,6428163,7728281,7738510,6170532,6855313,
World,WLD,310441392,331604904,,401571800,421145200,432276500,471773396,513269292,576090004,648400600,641872888,640619400,654482108,685101596,732410288,783198104,842594296,904838104,953896012,983208800,1024976616,1133228204,1145436692,1142265216,1233233404,1302891640,1390963704,1455104192,1466961780,1562256300,1674064712,1655230214,1627404873,1665309283,1888695284,1970142144,2072995909,2209136496,2208218737,2249518122,2628231063,2786918946,2894035637,3050796411,3213664822,
"Yemen, Rep.",YEM,25900,54500,57000,61500,66500,70000,262800,275000,295000,295000,310000,310000,352100,465900,455800,426200,589700,575500,635500,667900,671100,540500,800400,847900,790600,375000,587500,706900,765000,731000,841609,841366,869296,844284,1022079,1083404,1162316,1073493,1064878,1050486,1536556,1492073,1299707,1664225,1665554,
South Africa,ZAF,1519000,1659500,1868100,2313800,2763600,2936400,2998800,3076800,3211200,3783700,4116000,4159800,4091200,3951800,4461400,4337300,3825000,4386900,5125900,5641500,5364900,4818600,4685000,5581500,5801600,6395500,7183100,7274200,6479500,7403800,8000757,7948374,8052660,9159815,9878598,11844657,12932671,12870324,13135437,12503629,15781210,16407785,17571565,16311246,16606348,
