"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"2756","Valhalla","NY","10595",-73.8112,41.0843,"New York Medical College",38619,29640,10104,11533.39,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"80","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","0.5",0.03999999910593,71.8000030517578,"7.94000005722046","11.4399995803833","13.2100000381469","76.6699981689453","6.67999982833862",NA,"NULL",1.2
"4052","Houston","TX","77002-7006",-95.3649,29.7534,"South Texas College of Law",24449,14145,15433,NA,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed",NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"NULL",1.1
"5163","Saint Petersburg","FL","33716",-82.6402,27.8587,"Galen College of Nursing-Tampa Bay",12273,6045,5372,38924.91,"NULL","23898","NULL","NULL","33040","NULL","21192",2,2,"1",3,"NULL","0","0","0","0","0","0","0","0.6162","0.5667","NULL","NULL","790","0.87000000476837",0.37000000476837,77.2600021362304,"13.5500001907348","1.53999996185302","15.8900003433227","92.0400009155273","9.96000003814697",15800,"20890",10.3
"4591","Keene","NH","03431",-72.2938,42.9323,"Antioch University-New England",18839,9315,6706,42885.02,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",4,4,"3",2,"NULL","0","0","0","0","0","0","0","0.7857","NULL","NULL","NULL","NULL","0.70999997854232",0.2199999988079,76.8000030517578,"8.14999961853027","6.01000022888183","10.8000001907348","84.7300033569336","7.86999988555908",24156,"25329.5",4.4
"4519","San German","PR","00683",-67.0538,18.084,"Inter American University of Puerto Rico-San German",4295,3332,4685,17971.97,"10830","NULL","4660","4660","NULL","NULL","5585",4,3,"3",2,"NULL","0","0","0","0","0","0","0","0.5362","0.6976","NULL","NULL","4308","0.56000000238418",0.12999999523162,82.4499969482422,"6.57999992370605","0.20000000298023","98.3899993896484","76.4899978637695","47.3499984741211",7250,"8500",19.5
"2360","Havre","MT","59501",-109.6865,48.5411,"Montana State University-Northern",5163,7935,5164,41110.94,"17290","NULL","5480","17312","NULL","14641","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","1","1","505","23","1250","0.50999999046325",0.20999999344348,81.5899963378906,"1.08000004291534","0.56999999284744","2.19000005722045","96.9000015258789","14.0100002288818",10500,"18022.5",12.7
"1810","Boston","MA","02116",-71.077,42.352,"Bay State College",17194,5835,7251,44497.67,"32975","NULL","19748","19748","NULL","NULL","25440",3,2,"2",3,"NULL","0","0","0","0","0","0","0","0.5845","0.5845","NULL","NULL","1196","0.74000000953674",0.05000000074505,74.0599975585937,"13.1000003814697","3.90000009536743","9.0600004196167","81.9199981689453","9.59000015258789",18000,"25250",12.9
"1426","Storm Lake","IA","50588",-95.2008,42.6552,"Faust Institute of Cosmetology-Storm Lake",8461,2718,NA,31186.33,"NULL","11868","NULL","NULL","12350","NULL","6956",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","21","0.99000000953674",0.15000000596046,95.9700012207031,"0.25","1.29999995231628","3.71000003814697","95.9800033569336","6.05000019073486",12000,"12000",2.7
"675","Denver","CO","80222",-104.9412,39.6916,"College America-Denver",15068,4391,4524,25828.89,"22306","NULL","17211","17211","NULL","NULL","16059",3,2,"2",2,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","497","0.73000001907348",0.31999999284744,78.9000015258789,"6.69000005722046","2.30999994277954","17.0400009155273","89.3099975585937","7.07999992370605",20000,"27257.5",25.5
"7243","San Diego","CA","92115-6347",-117.0695,32.7508,"Tramy Beauty School",1787,1885,NA,NA,"NULL","19248","NULL","NULL","10106","NULL","14996",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","270","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",NA,"NULL",0
"2040","Madison Heights","MI","48071",-83.1077,42.5082,"Ross Medical Education Center-Madison Heights",5091,1164,NA,24158.65,"NULL","21516","NULL","NULL","15680","NULL","17376",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","270","0.94999998807907",0.25,61.9099998474121,"30.7900009155273","1.77999997138977","9.22000026702881","85.7099990844726","11.4300003051757",9500,"9500",17.7
