,Member,State,Party,Chamber,Raised,Spent,Cash on Hand,Debts
327,"Meadows, Mark R",North Carolina,R,H,"$319,611","$180,577","$265,439","$160,500"
328,"Meehan, Patrick",Pennsylvania,R,H,"$1,162,750","$633,752","$2,200,199",$0
329,"Meeks, Gregory W",New York,D,H,"$405,709","$505,906","$65,230",$0
330,"Menendez, Robert",New Jersey,D,S,"$222,619","$537,616","$1,137,707",$0
331,"Meng, Grace",New York,D,H,"$383,850","$280,080","$743,524",$0
332,"Merkley, Jeff",Oregon,D,S,"$510,214","$540,497","$601,622",$0
333,"Messer, Luke",Indiana,R,H,"$856,161","$678,630","$639,099",$0
334,"Mica, John L",Florida,R,H,"$335,015","$70,513","$535,309",$0
335,"Mikulski, Barbara A",Maryland,D,S,$0,$0,$0,$0
336,"Miller, Candice S",Michigan,R,H,$0,$0,$0,$0
337,"Miller, Jeff",Florida,R,H,"$804,769","$466,340","$510,529",$0
338,"Moolenaar, John",Michigan,R,H,"$510,225","$311,563","$226,711","$211,536"
339,"Mooney, Alex",West Virginia,R,H,"$606,723","$289,789","$320,820","$25,934"
340,"Moore, Gwen",Wisconsin,D,H,"$461,857","$402,718","$72,812",$0
341,"Moran, Jerry",Kansas,R,S,"$2,857,058","$1,120,614","$3,116,658","$94,087"
342,"Moulton, Seth",Massachusetts,D,H,"$1,431,625","$533,292","$935,631",$0
343,"Mullin, Markwayne",Oklahoma,R,H,"$610,007","$300,458","$420,702",$0
344,"Mulvaney, Mick",South Carolina,R,H,"$345,432","$267,532","$231,071","$88,600"
345,"Murkowski, Lisa",Alaska,R,S,"$3,282,895","$1,090,555","$3,095,971",$0
346,"Murphy, Christopher S",Connecticut,D,S,"$876,276","$363,693","$618,374",$0
347,"Murphy, Patrick",Florida,D,H,"$5,670,610","$1,898,500","$4,308,768",$0
348,"Murphy, Tim",Pennsylvania,R,H,"$758,815","$497,692","$1,080,043",$0
349,"Murray, Patty",Washington,D,S,"$5,594,335","$1,557,377","$5,950,995",$0
350,"Nadler, Jerrold",New York,D,H,"$1,026,836","$402,308","$946,030",$0
351,"Napolitano, Grace",California,D,H,"$213,290","$50,809","$414,166",$541
352,"Neal, Richard E",Massachusetts,D,H,"$733,987","$637,749","$2,730,845",$0
353,"Nelson, Bill",Florida,D,S,"$335,748","$133,059","$1,129,274",$0
354,"Neugebauer, Randy",Texas,R,H,"$255,456","$155,515","$775,601",$0
355,"Newhouse, Dan",Washington,R,H,"$521,418","$285,025","$261,061","$24,055"
356,"Noem, Kristi",South Dakota,R,H,"$1,241,752","$516,470","$1,527,665",$0
357,"Nolan, Rick",Minnesota,D,H,"$888,561","$330,360","$584,864",$0
358,"Norcross, Don",New Jersey,D,H,"$770,393","$343,055","$319,195","$15,161"
359,"Norton, Eleanor Holmes",District of Columbia,D,S,"$162,900","$191,197","$192,378",$0
360,"Nugent, Richard",Florida,R,H,"$52,883","$87,951","$29,968",$0
361,"Nunes, Devin",California,R,H,"$1,169,863","$529,983","$2,726,853",$0
362,"O'Rourke, Beto",Texas,D,H,"$307,082","$116,256","$352,653",$0
363,"Olson, Pete",Texas,R,H,"$740,663","$740,552","$330,655",$0
364,"Palazzo, Steven",Mississippi,R,H,"$483,063","$233,633","$307,784","$2,500"
365,"Pallone, Frank Jr",New Jersey,D,H,"$1,121,771","$674,922","$950,908",$0
366,"Palmer, Gary",Alabama,R,H,"$925,973","$324,078","$791,607",$0
367,"Pascrell, Bill Jr",New Jersey,D,H,"$802,160","$518,393","$1,245,510","$60,000"
368,"Paul, Rand",Kentucky,R,S,"$810,838","$2,482,599","$1,229,179",$0
369,"Paulsen, Erik",Minnesota,R,H,"$1,507,553","$669,900","$2,048,614",$0
370,"Payne, Donald M Jr",New Jersey,D,H,"$192,260","$199,501","$23,379",$0
371,"Pearce, Steve",New Mexico,R,H,"$946,704","$340,396","$994,060",$0
372,"Pelosi, Nancy",California,D,H,"$1,691,135","$1,774,190","$898,104",$0
373,"Perdue, David",Georgia,R,S,"$630,528","$633,066","$43,746","$964,106"
374,"Perlmutter, Edwin G",Colorado,D,H,"$899,629","$435,419","$645,986",$0
375,"Perry, Scott",Pennsylvania,R,H,"$319,009","$201,205","$268,475",$0
376,"Peters, Gary",Michigan,D,S,"$412,712","$236,381","$397,932",$0
377,"Peters, Scott",California,D,H,"$1,735,872","$456,639","$1,347,931","$252,100"
378,"Peterson, Collin",Minnesota,D,H,"$490,538","$194,472","$346,748",$0
379,"Pierluisi, Pedro",Puerto Rico,D,S,"$58,600","$47,380","$11,782",$0
380,"Pingree, Chellie",Maine,D,H,"$173,991","$110,031","$279,418","$20,000"
381,"Pittenger, Robert",North Carolina,R,H,"$428,828","$429,553","$73,469","$663,000"
382,"Pitts, Joe",Pennsylvania,R,H,"$404,820","$421,642","$119,127",$0
383,"Plaskett, Stacey",Virgin Islands,D,S,"$100,919","$80,244","$20,675","$6,920"
384,"Pocan, Mark",Wisconsin,D,H,"$521,926","$368,479","$340,997",$0
385,"Poe, Ted",Texas,R,H,"$421,994","$382,679","$1,888,876",$0
386,"Poliquin, Bruce",Maine,R,H,"$1,870,243","$328,475","$1,550,441","$209,000"
387,"Polis, Jared",Colorado,D,H,"$619,238","$285,788","$344,053",$0
388,"Pompeo, Mike",Kansas,R,H,"$492,336","$487,197","$1,105,636",$0
389,"Portman, Rob",Ohio,R,S,"$9,822,269","$3,442,922","$12,188,138",$0
390,"Posey, Bill",Florida,R,H,"$350,397","$289,250","$403,377",$0
391,"Price, David",North Carolina,D,H,"$306,557","$274,793","$248,172",$0
392,"Price, Tom",Georgia,R,H,"$1,133,812","$999,485","$2,390,722",$0
393,"Quigley, Mike",Illinois,D,H,"$566,322","$353,924","$720,859",$0
394,"Radewagen, Amata Coleman",American Samoa,R,S,"$8,975","$7,362","$1,613",$0
395,"Rangel, Charles B",New York,D,H,$0,$0,$0,$0
396,"Ratcliffe, John Lee",Texas,R,H,"$534,135","$242,085","$381,523","$391,950"
397,"Reed, Jack",Rhode Island,D,S,"$124,988","$384,258","$1,706,149",$0
398,"Reed, Tom",New York,R,H,"$1,509,742","$716,371","$879,254",$0
399,"Reichert, Dave",Washington,R,H,"$589,242","$342,913","$643,379",$0
400,"Reid, Harry",Nevada,D,S,$0,$0,$0,$0
401,"Renacci, Jim",Ohio,R,H,"$1,068,784","$488,360","$865,834","$22,080"
402,"Ribble, Reid",Wisconsin,R,H,"$579,556","$626,591","$756,451",$0
403,"Rice, Kathleen",New York,D,H,"$1,298,833","$653,644","$674,143",$0
404,"Rice, Tom",South Carolina,R,H,"$571,547","$385,265","$540,517",$0
405,"Richmond, Cedric",Louisiana,D,H,"$513,392","$323,818","$321,568","$8,000"
406,"Rigell, Scott",Virginia,R,H,"$705,723","$481,550","$362,150","$524,500"
407,"Risch, James E",Idaho,R,S,"$86,631","$102,222","$1,122,663",$0
408,"Roberts, Pat",Kansas,R,S,"$276,033","$269,253","$71,308","$159,441"
409,"Roby, Martha",Alabama,R,H,"$1,005,998","$819,843","$678,453",$0
410,"Roe, Phil",Tennessee,R,H,"$262,917","$107,685","$535,537",$0
411,"Rogers, Hal",Kentucky,R,H,"$675,300","$559,100","$1,245,171",$0
412,"Rogers, Mike D",Alabama,R,H,"$487,573","$507,357","$438,030",$0
413,"Rohrabacher, Dana",California,R,H,"$511,616","$315,683","$204,893","$13,865"
414,"Rokita, Todd",Indiana,R,H,"$653,176","$476,684","$1,229,513",$0
415,"Rooney, Tom",Florida,R,H,"$275,452","$242,221","$396,759",$0
416,"Ros-Lehtinen, Ileana",Florida,R,H,"$463,114","$410,598","$1,997,267",$0
417,"Roskam, Peter",Illinois,R,H,"$1,447,399","$891,048","$1,013,796",$0
418,"Ross, Dennis",Florida,R,H,"$539,763","$326,950","$228,155",$0
419,"Rothfus, Keith J",Pennsylvania,R,H,"$838,517","$307,499","$1,059,679","$195,609"
420,"Rounds, Mike",South Dakota,R,S,"$171,247","$248,944","$41,704",$0
421,"Rouzer, David",North Carolina,R,H,"$720,350","$326,552","$458,526",$0
422,"Roybal-Allard, Lucille",California,D,H,"$324,495","$294,707","$58,843",$0
423,"Royce, Ed",California,R,H,"$2,321,173","$671,993","$3,663,726","$99,766"
424,"Rubio, Marco",Florida,R,S,$0,$0,$0,$0
425,"Ruiz, Raul",California,D,H,"$1,570,991","$432,604","$1,512,113",$0
426,"Ruppersberger, Dutch",Maryland,D,H,"$493,807","$528,264","$1,048,438",$0
427,"Rush, Bobby L",Illinois,D,H,"$184,520","$177,626","$39,798","$25,589"
428,"Russell, Steven",Oklahoma,R,H,"$344,002","$292,114","$54,004","$161,899"
429,"Ryan, Paul",Wisconsin,R,H,"$4,550,502","$1,922,148","$5,308,674",$0
430,"Ryan, Tim",Ohio,D,H,"$636,560","$452,341","$570,342",$0
431,"Salmon, Matt",Arizona,R,H,"$388,803","$206,576","$629,665",$0
432,"Sanchez, Linda",California,D,H,"$737,549","$588,799","$587,457",$0
433,"Sanchez, Loretta",California,D,H,"$2,704,191","$582,951","$2,121,240","$303,394"
434,"Sanders, Bernie",Vermont,D,S,$0,$0,$0,$0
435,"Sanford, Mark",South Carolina,R,H,"$360,208","$58,950","$805,594",$0
436,"Sarbanes, John",Maryland,D,H,"$535,666","$333,672","$949,932",$0
437,"Sasse, Ben",Nebraska,R,S,"$672,498","$510,282","$883,111","$338,458"
438,"Scalise, Steve",Louisiana,R,H,"$1,588,524","$1,191,709","$879,608",$0
439,"Schakowsky, Jan",Illinois,D,H,"$700,677","$622,806","$358,402",$0
440,"Schatz, Brian",Hawaii,D,S,"$2,368,850","$720,572","$2,602,155",$0
441,"Schiff, Adam",California,D,H,"$420,620","$444,769","$2,080,445",$700
442,"Schrader, Kurt",Oregon,D,H,"$907,718","$229,521","$1,474,823","$67,500"
443,"Schultz, Debbie Wasserman",Florida,D,H,"$1,142,410","$1,036,668","$468,254",$0
444,"Schumer, Charles E",New York,D,S,"$12,285,829","$1,459,549","$24,236,262",$0
445,"Schweikert, David",Arizona,R,H,"$403,095","$226,221","$79,349","$207,918"
446,"Scott, Austin",Georgia,R,H,"$512,595","$331,630","$643,564","$8,719"
447,"Scott, Bobby",Virginia,D,H,"$243,740","$280,195","$63,497","$3,191"
448,"Scott, David",Georgia,D,H,"$589,600","$330,315","$312,143","$52,820"
449,"Scott, Tim",South Carolina,R,S,"$3,544,102","$1,445,334","$4,578,916",$0
450,"Sensenbrenner, F James Jr",Wisconsin,R,H,"$178,481","$104,596","$467,810",$0
451,"Serrano, Jose E",New York,D,H,"$84,021","$59,814","$67,208",$0
452,"Sessions, Jeff",Alabama,R,S,"$50,069","$156,018","$2,718,239",$0
453,"Sessions, Pete",Texas,R,H,"$1,270,201","$1,406,247","$534,631",$0
454,"Sewell, Terri A",Alabama,D,H,"$704,047","$534,431","$591,080",$0
455,"Shaheen, Jeanne",New Hampshire,D,S,"$269,233","$313,986","$43,951","$51,897"
456,"Shelby, Richard C",Alabama,R,S,"$2,795,112","$8,659,124","$12,191,418",$0
457,"Sherman, Brad",California,D,H,"$753,340","$204,663","$735,799","$50,000"
458,"Shimkus, John M",Illinois,R,H,"$1,314,733","$971,221","$1,370,347",$0
459,"Shuster, Bill",Pennsylvania,R,H,"$1,890,291","$931,235","$1,374,354",$0
460,"Simpson, Mike",Idaho,R,H,"$479,683","$316,805","$233,188",$0
461,"Sinema, Kyrsten",Arizona,D,H,"$1,894,976","$548,908","$1,649,182",$0
462,"Sires, Albio",New Jersey,D,H,"$232,227","$192,975","$276,788",$0
463,"Slaughter, Louise M",New York,D,H,"$717,339","$273,546","$784,136",$0
464,"Smith, Adam",Washington,D,H,"$373,843","$247,438","$705,902",$0
465,"Smith, Adrian",Nebraska,R,H,"$612,745","$400,844","$996,340",$0
466,"Smith, Chris",New Jersey,R,H,"$244,975","$140,939","$313,031",$0
467,"Smith, Jason",Missouri,R,H,"$736,926","$270,405","$612,713",$0
468,"Smith, Lamar",Texas,R,H,"$941,952","$865,153","$841,552",$0
469,"Speier, Jackie",California,D,H,"$310,541","$316,184","$1,271,600","$4,688"
470,"Stabenow, Debbie",Michigan,D,S,"$1,313,630","$449,797","$1,867,086",$0
471,"Stefanik, Elise",New York,R,H,"$1,282,119","$376,521","$928,154","$18,209"
472,"Stewart, Chris",Utah,R,H,"$353,775","$240,191","$245,016",$0
473,"Stivers, Steve",Ohio,R,H,"$1,618,594","$588,072","$1,963,665",$0
474,"Stutzman, Marlin",Indiana,R,H,"$1,708,556","$1,082,668","$1,095,682",$0
475,"Sullivan, Dan",Alaska,R,S,"$16,735","$196,764",$0,$0
476,"Swalwell, Eric",California,D,H,"$1,093,801","$641,872","$849,433","$24,025"
477,"Takai, Mark",Hawaii,D,H,"$766,047","$274,459","$499,124",$0
478,"Takano, Mark",California,D,H,"$471,536","$279,822","$231,647",$0
479,"Tester, Jon",Montana,D,S,"$828,298","$186,409","$1,015,987",$0
480,"Thompson, Bennie G",Mississippi,D,H,"$449,604","$382,622","$1,323,522",$0
481,"Thompson, Glenn",Pennsylvania,R,H,"$565,319","$498,925","$376,904",$0
482,"Thompson, Mike",California,D,H,"$961,643","$1,025,931","$1,411,893","$6,994"
483,"Thornberry, Mac",Texas,R,H,"$1,045,699","$944,783","$479,355",$0
484,"Thune, John",South Dakota,R,S,"$2,682,882","$1,038,364","$11,359,880",$0
485,"Tiberi, Patrick J",Ohio,R,H,"$1,913,878","$762,882","$3,652,978",$0
486,"Tillis, Thom",North Carolina,R,S,"$614,206","$696,716","$153,904","$236,176"
487,"Tipton, Scott",Colorado,R,H,"$642,554","$231,715","$586,288",$0
488,"Titus, Dina",Nevada,D,H,"$387,424","$265,195","$250,677","$5,000"
489,"Tonko, Paul",New York,D,H,"$536,610","$396,102","$597,206",$0
490,"Toomey, Pat",Pennsylvania,R,S,"$8,155,436","$4,400,972","$9,579,016",$0
491,"Torres, Norma",California,D,H,"$303,744","$169,044","$189,792","$6,706"
492,"Trott, Dave",Michigan,R,H,"$681,820","$230,081","$502,186","$264,637"
493,"Tsongas, Niki",Massachusetts,D,H,"$601,529","$492,246","$510,620",$0
494,"Turner, Michael R",Ohio,R,H,"$532,268","$414,883","$531,023",$0
495,"Udall, Tom",New Mexico,D,S,"$460,480","$403,056","$80,387","$13,975"
496,"Upton, Fred",Michigan,R,H,"$1,684,232","$733,216","$1,005,938",$0
497,"Valadao, David",California,R,H,"$1,231,625","$337,062","$981,849",$0
498,"Van Hollen, Chris",Maryland,D,H,"$6,295,124","$2,631,471","$3,663,652","$93,932"
499,"Vargas, Juan",California,D,H,"$425,215","$319,161","$101,667","$150,291"
500,"Veasey, Marc",Texas,D,H,"$806,465","$598,351","$412,758",$0
501,"Vela, Filemon",Texas,D,H,"$678,489","$280,247","$456,972",$0
502,"Velazquez, Nydia M",New York,D,H,"$159,917","$261,730","$137,906","$7,736"
503,"Visclosky, Pete",Indiana,D,H,"$478,401","$347,972","$391,397",$0
504,"Vitter, David",Louisiana,R,S,$0,$0,$0,$0
505,"Wagner, Ann L",Missouri,R,H,"$1,246,721","$518,772","$2,096,837","$1,287"
506,"Walberg, Tim",Michigan,R,H,"$1,029,481","$288,268","$1,060,668",$0
507,"Walden, Greg",Oregon,R,H,"$1,647,514","$949,746","$1,695,027",$0
508,"Walker, Mark",North Carolina,R,H,"$419,736","$184,932","$249,596",$0
509,"Walorski, Jackie",Indiana,R,H,"$825,850","$290,927","$773,402",$0
510,"Walters, Mimi",California,R,H,"$972,888","$351,212","$728,084","$17,577"
511,"Walz, Timothy J",Minnesota,D,H,"$667,109","$489,026","$257,381",$0
512,"Warner, Mark",Virginia,D,S,"$562,851","$317,969","$376,889",$0
513,"Warren, Elizabeth",Massachusetts,D,S,"$2,778,594","$1,319,037","$3,111,619",$0
514,"Waters, Maxine",California,D,H,"$278,328","$336,746","$219,298","$26,986"
515,"Weber, Randy",Texas,R,H,"$283,926","$195,398","$268,424","$146,500"
516,"Webster, Daniel",Florida,R,H,"$492,550","$320,739","$334,282",$0
517,"Welch, Peter",Vermont,D,H,"$458,748","$205,810","$1,942,513",$0
518,"Wenstrup, Brad",Ohio,R,H,"$620,543","$245,628","$642,161",$0
519,"Westerman, Bruce",Arkansas,R,H,"$367,191","$197,186","$262,205",$0
520,"Westmoreland, Lynn A",Georgia,R,H,"$446,172","$334,379","$524,823",$0
521,"Whitehouse, Sheldon",Rhode Island,D,S,"$563,873","$330,588","$885,164",$0
522,"Whitfield, Ed",Kentucky,R,H,"$456,366","$216,258","$2,166,703",$0
523,"Wicker, Roger",Mississippi,R,S,"$149,681","$252,191","$1,863,317",$0
524,"Williams, Roger",Texas,R,H,"$999,666","$568,965","$847,519",$0
525,"Wilson, Frederica",Florida,D,H,"$257,091","$136,836","$370,737","$15,906"
526,"Wilson, Joe",South Carolina,R,H,"$427,508","$247,906","$402,265",$0
527,"Wittman, Rob",Virginia,R,H,"$499,288","$368,093","$1,026,756",$0
528,"Womack, Steve",Arkansas,R,H,"$415,293","$200,110","$1,017,417",$0
529,"Woodall, Rob",Georgia,R,H,"$277,400","$228,549","$98,999",$0
530,"Wyden, Ron",Oregon,D,S,"$5,504,814","$1,251,726","$6,587,114",$0
531,"Yarmuth, John A",Kentucky,D,H,"$199,473","$290,186","$399,223","$132,262"
532,"Yoder, Kevin",Kansas,R,H,"$1,271,265","$340,438","$2,191,600",$0
533,"Yoho, Ted",Florida,R,H,"$497,145","$215,715","$372,166",$0
534,"Young, David",Iowa,R,H,"$987,643","$235,016","$782,391","$280,650"
535,"Young, Don",Alaska,R,H,"$433,671","$325,602","$596,288",$0
536,"Young, Todd",Indiana,R,H,"$2,906,103","$1,031,239","$2,636,578",$0
537,"Zeldin, Lee",New York,R,H,"$2,112,893","$653,115","$1,506,586","$7,512"
538,"Zinke, Ryan K",Montana,R,H,"$2,723,934","$2,021,766","$743,983","$33,421"
