Made 0ft jumper 5:09 in 4th Qtr.,400828096473,true,Ian Mahinmi,2774,4,a,25,6,400828096
Made 16ft jumper 4:52 in 4th Qtr.,400828096474,true,Gary Neal,4300,4,h,10,82,400828096
Miss 7ft jumper 4:33 in 4th Qtr.,400828096475,false,Ian Mahinmi,2774,4,a,25,13,400828096
Made 24ft 3-pointer 4:26 in 4th Qtr.,400828096477,true,George Hill,3438,4,a,2,12,400828096
Made 26ft 3-pointer 4:09 in 4th Qtr.,400828096478,true,Gary Neal,4300,4,h,4,72,400828096
Made 29ft 3-pointer 3:31 in 4th Qtr.,400828096486,true,Bradley Beal,6580,4,h,9,64,400828096
Made 29ft 3-pointer 3:14 in 4th Qtr.,400828096487,true,C.J. Miles,2778,4,a,9,30,400828096
Miss 27ft jumper 3:00 in 4th Qtr.,400828096488,false,Otto Porter Jr.,2594922,4,h,40,66,400828096
Miss 3ft jumper 2:58 in 4th Qtr.,400828096490,false,Marcin Gortat,2758,4,h,22,88,400828096
Miss 26ft jumper 2:00 in 4th Qtr.,400828096497,false,Gary Neal,4300,4,h,46,72,400828096
Miss 18ft jumper 1:31 in 4th Qtr.,400828096515,false,Monta Ellis,2751,4,a,13,19,400828096
Miss 23ft jumper 1:21 in 4th Qtr.,400828096517,false,Kelly Oubre Jr.,3133603,4,h,48,86,400828096
Made 17ft jumper 0:59 in 4th Qtr.,400828096519,true,Paul George,4251,4,a,38,17,400828096
Miss 4ft jumper 0:48 in 4th Qtr.,400828096520,false,Garrett Temple,4023,4,h,22,86,400828096
Made 18ft jumper 0:32 in 4th Qtr.,400828096529,true,Lavoy Allen,6424,4,a,43,6,400828096
Miss 19ft jumper 0:21 in 4th Qtr.,400828096530,false,DeJuan Blair,3965,4,h,27,69,400828096
Miss 1ft jumper 11:27 in 1st Qtr.,4008280975,false,Isaiah Thomas,6472,1,a,24,7,400828097
Miss 7ft jumper 11:17 in 1st Qtr.,40082809733,false,Paul Millsap,3015,1,h,31,84,400828097
Made 18ft jumper 11:02 in 1st Qtr.,4008280978,true,Avery Bradley,4240,1,a,21,24,400828097
Miss 9ft jumper 10:52 in 1st Qtr.,4008280979,false,Al Horford,3213,1,h,34,87,400828097
Made 2ft jumper 10:48 in 1st Qtr.,40082809711,true,Thabo Sefolosha,3028,1,h,23,88,400828097
Miss 24ft jumper 10:30 in 1st Qtr.,40082809713,false,Avery Bradley,4240,1,a,28,30,400828097
Made 24ft 3-pointer 10:15 in 1st Qtr.,40082809715,true,Kyle Korver,2011,1,h,15,66,400828097
Made 20ft jumper 10:00 in 1st Qtr.,40082809716,true,Avery Bradley,4240,1,a,6,13,400828097
Made 5ft jumper 9:42 in 1st Qtr.,40082809718,true,Jae Crowder,6581,1,a,20,8,400828097
Made 2ft jumper 9:32 in 1st Qtr.,40082809719,true,Jeff Teague,4015,1,h,23,87,400828097
